feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,15,1436.12,42.76,4332.03,315.07,2.8909,2.9091
5,15,1436.12,42.76,1446.84,373.12,2.6416,2.6598
7,5,478.71,24.69,4244.62,348.34,2.279,2.2972
9,8,765.93,31.23,944.23,376.71,8.2949,8.3132
22,10,957.41,34.91,4371.82,413.89,2.6845,2.7028
28,24,2297.79,54.09,660.88,618.07,3.8247,3.843
34,21,2010.56,50.6,968.22,902.53,2.7275,2.7458
36,6,574.45,27.04,461.51,927.92,2.4265,2.4447
37,6,574.45,27.04,402.8,952.38,2.4795,2.4977
41,7,670.19,29.21,975.68,992.45,2.4467,2.465
48,7,670.19,29.21,4661.73,1083.31,4.4818,4.5001
51,5,478.71,24.69,2772.99,1303.33,3.4358,3.454
52,9,861.67,33.12,4141.12,1351.38,2.7157,2.7339
59,20,1914.82,49.38,2744.62,1658.51,8.8404,8.8586
61,17,1627.6,45.52,576.15,1709.45,9.2198,9.238
63,6,574.45,27.04,1012.72,1819.96,3.4846,3.5028
65,26,2489.27,56.3,1864.37,1973.88,2.6227,2.6409
70,463,44328.11,237.57,4604.19,2148.54,5.4907,5.5089
72,5,478.71,24.69,4481.41,2084.15,2.5549,2.5732
75,18,1723.34,46.84,384.32,2178.73,3.4268,3.445
81,6,574.45,27.04,2868.56,2482.06,2.5556,2.5738
86,6,574.45,27.04,689.82,2974.56,2.4979,2.5161
87,19,1819.08,48.13,1985.27,3074.47,4.8408,4.859
89,12,1148.89,38.25,1996.09,3165.36,9.7573,9.7755
92,5,478.71,24.69,1604.7,3356.16,2.4098,2.428
93,324,31020.1,198.74,1568.55,3498.13,4.679,4.6972
100,446,42700.51,233.17,3887.96,3558.07,4.6278,4.646
102,5,478.71,24.69,1700.59,3471.62,2.4722,2.4905
109,8,765.93,31.23,1281.8,3605.68,7.5076,7.5258
121,6,574.45,27.04,3180.04,4026.42,2.8144,2.8326
122,6,574.45,27.04,2831.05,4124.27,8.623,8.6413
123,12,1148.89,38.25,1457.11,4199.28,9.5057,9.5239
124,18,1723.34,46.84,4117.2,4269.41,11.4136,11.4319
127,5,478.71,24.69,2528.38,4463.8,3.0664,3.0846
