set_mw,measured_mw,error_mw,error_pct,wavelength_nm,timestamp
0.1,9.527474454000002e-06,-0.099990472525546,-99.99047252554601,,2026-02-09T14:52:10.778766
0.2,9.350454991e-06,-0.199990649545009,-99.9953247725045,,2026-02-09T14:52:10.778766
0.3,9.194252115e-06,-0.299990805747885,-99.996935249295,,2026-02-09T14:52:10.778766
0.4,8.819374654e-06,-0.399991180625346,-99.9977951563365,,2026-02-09T14:52:10.778766
0.5,8.918305205e-06,-0.499991081694795,-99.998216338959,,2026-02-09T14:52:10.778766
0.6,8.751688442000001e-06,-0.5999912483115579,-99.99854138525966,,2026-02-09T14:52:10.778766
0.7,8.168546373e-06,-0.699991831453627,-99.99883306480386,,2026-02-09T14:52:10.778766
0.8,7.913419919e-06,-0.799992086580081,-99.99901082251013,,2026-02-09T14:52:10.778766
0.9,7.8873855e-06,-0.8999921126145001,-99.99912362383334,,2026-02-09T14:52:10.778766
1.0,0.00039587052360000004,-0.9996041294764,-99.96041294764,,2026-02-09T14:52:10.778766
1.1,0.001104619037,-1.098895380963,-99.89958008754544,,2026-02-09T14:52:10.778766
1.2,0.00311047952,-1.1968895204799999,-99.74079337333333,,2026-02-09T14:52:10.778766
1.3,0.0048241285170000005,-1.295175871483,-99.628913191,,2026-02-09T14:52:10.778766
1.4,0.006746015515999999,-1.393253984484,-99.51814174885715,,2026-02-09T14:52:10.778766
1.5,0.01275474944,-1.48724525056,-99.14968337066666,,2026-02-09T14:52:10.778766
1.6,0.018016849209999998,-1.5819831507900002,-98.873946924375,,2026-02-09T14:52:10.778766
1.7,0.02620207143,-1.67379792857,-98.45870168058823,,2026-02-09T14:52:10.778766
1.8,0.04108287321,-1.7589171267900001,-97.71761815500001,,2026-02-09T14:52:10.778766
1.9,0.047619502939999996,-1.85238049706,-97.49371037157894,,2026-02-09T14:52:10.778766
2.0,0.054663718779999995,-1.94533628122,-97.26681406099999,,2026-02-09T14:52:10.778766
2.1,0.07679002520000001,-2.0232099748,-96.34333213333332,,2026-02-09T14:52:10.778766
2.2,0.09521572502,-2.10478427498,-95.67201249909091,,2026-02-09T14:52:10.778766
2.3,0.11900154290000002,-2.1809984571,-94.82601987391305,,2026-02-09T14:52:10.778766
2.4,0.1801068894,-2.2198931105999997,-92.495546275,,2026-02-09T14:52:10.778766
2.5,0.2273904511,-2.2726095489,-90.90438195600001,,2026-02-09T14:52:10.778766
2.6,0.26930753960000003,-2.3306924604,-89.6420177076923,,2026-02-09T14:52:10.778766
2.7,0.351226385,-2.3487736150000003,-86.99161537037038,,2026-02-09T14:52:10.778766
2.8,0.39379386290000007,-2.4062061371,-85.93593346785714,,2026-02-09T14:52:10.778766
2.9,0.4512845509000001,-2.4487154491,-84.43846376206896,,2026-02-09T14:52:10.778766
3.0,0.5165543580999999,-2.4834456419,-82.78152139666666,,2026-02-09T14:52:10.778766
3.1,0.5734970618,-2.5265029382,-81.50009478064516,,2026-02-09T14:52:10.778766
3.2,0.6153731956999999,-2.5846268043,-80.769587634375,,2026-02-09T14:52:10.778766
3.3,0.6875822435000001,-2.6124177564999997,-79.16417443939393,,2026-02-09T14:52:10.778766
3.4,0.7338882016,-2.6661117984,-78.41505289411764,,2026-02-09T14:52:10.778766
3.5,0.7925823621999999,-2.7074176378,-77.35478965142858,,2026-02-09T14:52:10.778766
3.6,0.8587227495,-2.7412772505,-76.14659029166666,,2026-02-09T14:52:10.778766
3.7,0.9200338215999999,-2.7799661784000005,-75.13422103783785,,2026-02-09T14:52:10.778766
3.8,0.9657508575000001,-2.8342491424999996,-74.58550374999999,,2026-02-09T14:52:10.778766
3.9,1.051792269,-2.848207731,-73.03096746153847,,2026-02-09T14:52:10.778766
4.0,1.088613751,-2.911386249,-72.784656225,,2026-02-09T14:52:10.778766
4.1,1.13883235,-2.9611676499999997,-72.22360121951219,,2026-02-09T14:52:10.778766
4.2,1.2267685840000002,-2.973231416,-70.79122419047619,,2026-02-09T14:52:10.778766
4.3,1.268066035,-3.031933965,-70.51009220930233,,2026-02-09T14:52:10.778766
4.4,1.312328642,-3.0876713580000006,-70.17434904545455,,2026-02-09T14:52:10.778766
4.5,1.401115011,-3.098884989,-68.86411086666668,,2026-02-09T14:52:10.778766
4.6,1.439897959,-3.1601020409999996,-68.69787045652174,,2026-02-09T14:52:10.778766
4.7,1.4878017,-3.2121983000000003,-68.34464468085106,,2026-02-09T14:52:10.778766
4.8,1.571600044,-3.2283999559999996,-67.25833241666666,,2026-02-09T14:52:10.778766
4.9,1.615826819,-3.2841731810000003,-67.02394246938775,,2026-02-09T14:52:10.778766
5.0,1.662778064,-3.3372219359999997,-66.74443872,,2026-02-09T14:52:10.778766
5.1,1.7518870999999998,-3.3481129,-65.64927254901961,,2026-02-09T14:52:10.778766
5.2,1.7894050349999997,-3.4105949650000005,-65.58836471153847,,2026-02-09T14:52:10.778766
5.3,1.852728776,-3.4472712239999996,-65.04285328301887,,2026-02-09T14:52:10.778766
5.4,1.927708391,-3.4722916090000004,-64.30169646296297,,2026-02-09T14:52:10.778766
5.5,1.9688317309999999,-3.531168269,-64.20305943636365,,2026-02-09T14:52:10.778766
5.6,2.023131912,-3.5768680879999994,-63.87264442857143,,2026-02-09T14:52:10.778766
5.7,2.104215976,-3.5957840240000003,-63.08393024561404,,2026-02-09T14:52:10.778766
5.8,2.1433368790000005,-3.6566631209999994,-63.045915879310336,,2026-02-09T14:52:10.778766
5.9,2.203828633,-3.6961713670000003,-62.6469723220339,,2026-02-09T14:52:10.778766
6.0,2.281187987,-3.718812013,-61.98020021666667,,2026-02-09T14:52:10.778766
6.1,2.3409332129999996,-3.759066787,-61.624045688524596,,2026-02-09T14:52:10.778766
6.2,2.3794899459999996,-3.8205100540000005,-61.621129903225814,,2026-02-09T14:52:10.778766
6.3,2.4551772290000002,-3.8448227709999996,-61.028932873015876,,2026-02-09T14:52:10.778766
6.4,2.5160938980000003,-3.883906102,-60.68603284374999,,2026-02-09T14:52:10.778766
6.5,2.560660803,-3.939339197,-60.60521841538461,,2026-02-09T14:52:10.778766
6.6,2.638028958,-3.9619710419999996,-60.02986427272727,,2026-02-09T14:52:10.778766
6.7,2.699913154,-4.000086846,-59.702788746268666,,2026-02-09T14:52:10.778766
6.8,2.7394887050000003,-4.0605112949999995,-59.71340139705882,,2026-02-09T14:52:10.778766
6.9,2.834072431,-4.065927569,-58.92648650724638,,2026-02-09T14:52:10.778766
7.0,2.876958505,-4.123041495,-58.90059278571428,,2026-02-09T14:52:10.778766
7.1,2.9198446300000005,-4.18015537,-58.87542774647887,,2026-02-09T14:52:10.778766
7.2,3.0089274509999995,-4.191072549000001,-58.20934095833334,,2026-02-09T14:52:10.778766
