feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
2,4083,390910.73,705.49,4353.85,1500.89,4.0407,4.014
5,8,765.93,31.23,4112.04,1203.52,2.3643,2.3376
6,5,478.71,24.69,4046.97,1211.35,2.2027,2.176
8,8,765.93,31.23,4691.78,1394.32,2.4851,2.4584
10,8,765.93,31.23,4025.2,1516.63,2.3054,2.2787
14,29,2776.49,59.46,4005.67,1737.97,2.5318,2.5051
16,10,957.41,34.91,3961.84,1719.18,2.4183,2.3916
18,39,3733.9,68.95,1961.21,1831.5,2.5533,2.5265
19,17,1627.6,45.52,3919.65,1796.94,2.4284,2.4017
20,5,478.71,24.69,3964.77,1784.74,2.3645,2.3377
24,22,2106.3,51.79,2057.46,1837.75,2.4882,2.4614
25,5,478.71,24.69,1998.04,1833.66,2.2963,2.2696
32,6,574.45,27.04,4231.9,1976.52,2.4681,2.4414
