20_Min	20_Min_Tg	No_Anneal
	2.8365	3.1817
	3.6237	2.89
	2.8045	2.8657
	3.1045	2.5101
	2.8453	3.3186
	2.7023	2.2825
	2.9717	2.9138
	3.7149	2.2826
	2.8484	2.8996
	4.0918	2.2487
	2.2866	2.6292
	3.949	2.096
	2.3697	2.7075
	2.7892	1.7854
	2.2906	2.2746
	2.4163	3.3384
	2.4883	2.0433
	2.4907	2.7169
	3.9395	2.4579
	3.7065	3.287
	2.4741	3.3573
	2.9325	3.672
	2.7202	2.1312
	3.4655	1.9967
	2.4965	3.7263
	3.5815	2.0752
	3.504	2.3055
	3.4459	2.9138
	2.5929	2.0132
	2.5427	2.7036
	4.4188	2.2939
	2.2088	2.1163
	3.1673	2.264
	2.394	2.3702
	3.7547	1.9297
	3.9313	2.1443
	2.4466	3.4923
	2.827	2.0784
	2.5334	3.3662
	4.2194	2.0648
	3.8798	2.0644
	4.6515	2.865
	2.2936	2.6268
	2.4739	2.4459
	2.8795	2.8794
	3.0764	2.7861
	2.4519	2.2812
	3.0905	2.9321
	2.7199	2.0104
	2.4334	2.4991
	2.8438	4.2183
	3.0552	1.9101
	3.8422	3.2792
	3.0087	2.7266
	3.0202	3.7267
	2.7416	3.817
	4.4543	3.2246
	4.4969	2.9002
	2.5975	2.7129
	2.6737	3.9827
	2.6004	3.3413
	4.1258	2.0397
	3.4823	2.6902
	3.3182	3.2415
	3.6208	2.9647
	2.287	3.304
	3.2519	2.826
	3.1589	3.8521
	2.3934	3.7133
	2.9382	2.4832
	2.7729	2.1131
	2.7265	3.0788
	2.8564	2.0655
	3.244	1.9728
	3.1147	2.0775
	2.7473	4.1515
	2.6415	2.0009
	2.7481	3.8017
	2.822	3.5717
	2.6468	3.9456
	3.0149	2.8939
	2.3244	2.5004
	4.6828	2.5584
	3.5607	2.9227
	3.9341	2.5192
	2.7607	2.9794
	2.9452	2.7845
	2.4649	3.1667
	2.6761	3.7381
	2.8286	4.2035
	4.4726	2.3555
	5.4863	2.6396
	2.379	2.6291
	3.4251	4.0079
	2.6542	3.4262
	2.6031	2.7771
	2.9897	2.5698
	4.2796	2.8763
	4.2775	2.4565
	3.2785	2.8398
	2.6292	2.7315
	2.5518	2.6604
	4.7472	3.7757
	4.1929	2.8686
	2.4802	3.4496
	4.259	2.4042
	3.5511	2.7396
	2.4508	2.4389
	2.7536	2.5365
	2.7902	2.7988
	2.711	2.4005
	3.2514	2.4432
	3.6874	2.3849
	4.7042	4.1721
	3.9915	2.6459
	3.1392	2.4073
	3.1016	2.4167
	2.9958	2.2757
	2.9535	2.7774
	2.8789	3.2926
	2.7765	4.0809
	3.0476	3.1173
	2.798	3.7045
	2.3309	3.0533
	3.6208	2.8481
	4.3059	2.7317
	3.1548	2.8137
	3.2381	3.5995
	3.7719	3.8559
	2.3737	3.6026
	2.331	2.639
	3.3914	3.9198
	2.8517	3.018
	5.0494	2.8054
	3.2502	2.9401
	2.2762	2.6681
	4.1547	2.5481
	4.1715	2.7203
	2.8476	2.2417
	3.0319	4.229
	3.3836	2.7142
	4.4104	2.8536
	3.6822	4.0923
	2.4897	3.0736
	4.961	2.5805
	3.9308	2.5294
	3.804	3.0303
	3.501	3.0731
	3.5144	3.7529
	4.5879	3.0271
	2.5797	3.2797
	3.1966	3.3009
	2.7876	2.8637
	2.9438	4.4699
	3.5801	2.8307
	3.4301	3.2253
	2.634	3.0584
	2.8919	2.3053
	4.7063	4.9016
	3.3707	2.9237
	4.7924	2.567
	4.2575	3.3317
	4.7163	2.5842
	4.1226	2.5467
	2.8719	2.5865
	5.6699	2.2483
	4.6408	2.2187
	3.9269	3.4612
	4.1941	2.2652
	5.0008	3.6131
	3.8524	2.7823
	4.0271	2.3427
	3.7196	2.3058
	2.5821	3.1054
	3.0827	3.2223
	2.7397	3.5888
	4.3028	3.8251
	2.7142	2.4684
	2.7836	3.715
	5.0437	2.5895
	3.2365	3.1619
	2.7926	2.9922
	4.1871	3.4511
	2.3418	2.4554
	5.0608	3.3209
	3.8564	3.1464
	2.8953	3.365
	3.4738	3.217
	3.6301	2.7657
	3.3256	2.5616
	2.7911	5.1923
	3.9009	2.8363
	3.404	2.8855
	5.4139	4.0921
	4.2967	2.7482
	2.5469	2.6996
	3.659	2.6678
	3.7352	4.0912
	5.2857	2.9168
	3.1534	2.5245
	5.6255	3.1472
	2.4477	2.013
	2.2678	4.1253
	3.4234	3.7223
	4.3144	3.3876
	4.7052	2.5019
	2.9319	3.3115
	6.183	3.4396
	3.1828	3.0986
	2.7798	2.5463
	3.8944	3.3835
	3.8031	3.5216
	5.3129	3.751
	2.2828	2.1006
	3.6536	2.3046
	6.0881	2.6536
	5.1741	2.3337
	3.5433	3.9488
	3.4871	2.7577
	4.4382	4.0575
	4.2932	3.7138
	5.4613	2.2707
	4.8528	2.8246
	4.8488	3.9478
	2.51	2.2387
	2.8212	3.247
	2.5572	2.1907
	4.6925	2.1126
	2.3722	4.3426
	3.7005	2.1212
	2.165	2.1782
	2.6236	2.9602
	2.2172	3.1152
	3.9857	2.6386
	3.7614	2.8596
	3.7662	2.1821
	3.548	3.7935
	4.0545	3.707
	2.7861	2.9441
	4.0867	4.1407
	3.0601	3.205
	2.7294	2.3714
	2.5332	3.0809
	4.4716	3.7256
	3.1931	3.7105
	2.493	3.2769
	2.5386	3.8865
	2.1618	3.4586
	2.233	2.186
	2.6175	3.0618
	3.2215	3.4889
	7.8863	2.7195
	2.2756	2.545
	2.969	4.4415
	2.2403	3.5252
	2.9006	2.5096
	2.246	2.9692
	3.2644	2.7963
	2.9745	2.7975
	2.8483	3.1817
	3.1352	2.5261
	3.5379	2.1099
	2.6574	2.1283
	2.6531	1.9825
	3.7074	2.1318
	2.6029	2.087
	2.9236	2.7294
	2.6866	2.3581
	3.5421	3.5694
	3.0437	3.7813
	3.4567	
	3.0204	
	6.3677	
	2.4511	
	3.7365	
	3.5807	
	3.5186	
	5.1837	
	2.5796	
	3.9028	
	2.7483	
	2.7125	
	3.9901	
	2.3977	
	2.4698	
	2.3712	
	4.9402	
	2.563	
	3.4765	
	3.9921	
	5.0019	
	2.631	
	3.2484	
	2.7841	
	3.8098	
	5.4728	
	2.4404	
	2.5288	
	3.9965	
	3.4026	
	5.3373	
	2.1597	
	2.6042	
	3.222	
	3.0444	
	3.6355	
	4.0332	
	5.2003	
	2.4181	
	4.1257	
	3.5566	
	2.4676	
	2.6298	
	2.6239	
	3.4282	
	3.5154	
	2.8061	
	3.2887	
	2.4678	
	2.911	
	3.0777	
