20_Min	20_Min_Tg	No_Anneal
	122.45	34.91
	54.09	38.25
	54.09	77.29
	69.83	42.76
	31.23	36.62
	57.37	80.38
	80.38	231.86
	42.76	86.23
	49.38	50.6
	31.23	24.69
	29.21	36.62
	24.69	54.09
	54.09	24.69
	58.42	36.62
	34.91	74.06
	31.23	33.12
	34.91	74.06
	50.6	70.7
	27.04	58.42
	44.16	48.13
	24.69	27.04
	135.67	31.23
	91.71	24.69
	121.45	27.04
	27.04	33.12
	24.69	38.25
	29.21	24.69
	36.62	46.84
	34.91	79.62
	219.71	38.25
	163.39	24.69
	27.04	31.23
	78.07	107.61
	31.23	54.09
	34.91	38.25
	31.23	24.69
	125.4	34.91
	161.51	29.21
	58.42	38.25
	45.52	24.69
	27.04	41.31
	134.77	34.91
	113.14	31.23
	27.04	38.25
	143.96	31.23
	77.29	34.91
	29.21	29.21
	29.21	49.38
	39.81	24.69
	27.04	44.16
	39.81	36.62
	101.19	36.62
	141.82	105.9
	124.91	66.25
	52.95	48.13
	59.46	29.21
	51.79	33.12
	36.62	54.09
	49.38	44.16
	27.04	100.59
	34.91	44.16
	27.04	42.76
	24.69	24.69
	72.4	57.37
	106.47	24.69
	59.46	34.91
	54.09	27.04
	95.62	83.36
	24.69	31.23
	27.04	31.23
	51.79	38.25
	29.21	44.16
	130.17	29.21
	88.33	34.91
	24.69	31.23
	128.28	27.04
	61.47	86.23
	29.21	33.12
	45.52	80.38
	39.81	41.31
	130.17	27.04
	48.13	78.07
	31.23	45.52
	160.38	24.69
	95.62	34.91
	101.19	38.25
	62.46	38.25
	64.38	68.95
	116.32	24.69
	24.69	39.81
	44.16	33.12
	33.12	36.62
	33.12	72.4
	80.38	33.12
	46.84	60.47
	24.69	36.62
	27.04	46.84
	139.22	386.43
	62.46	29.21
	152.99	52.95
	139.22	51.79
	159.62	63.43
	107.61	61.47
	63.43	50.6
	211.22	24.69
	153.38	24.69
	106.47	36.62
	112.05	24.69
	142.25	50.6
	93.03	29.21
	119.43	24.69
	90.37	29.21
	31.23	58.42
	33.12	72.4
	24.69	77.29
	77.29	85.52
	48.13	29.21
	27.04	65.32
	153.78	27.04
	49.38	60.47
	45.52	48.13
	113.14	91.05
	24.69	34.91
	154.18	77.29
	48.13	42.76
	44.16	41.31
	55.2	39.81
	58.42	44.16
	45.52	36.62
	24.69	77.29
	41.31	50.6
	24.69	27.04
	93.69	107.05
	119.93	49.38
	29.21	50.6
	84.08	62.46
	57.37	81.88
	145.64	52.95
	70.7	36.62
	128.76	51.79
	27.04	24.69
	33.12	63.43
	73.24	58.42
	85.52	66.25
	107.05	42.76
	31.23	64.38
	84.08	89.01
	46.84	64.38
	33.12	36.62
	130.64	65.32
	96.25	87.63
	180.07	82.62
	27.04	42.76
	80.38	31.23
	186.39	33.12
	134.32	33.12
	55.2	83.36
	67.16	42.76
	121.45	101.79
	104.74	78.85
	172.82	27.04
	148.95	24.69
	151.39	94.98
	33.12	24.69
	42.76	27.04
	24.69	29.21
	111.51	27.04
	27.04	64.38
	74.88	27.04
	24.69	49.38
	36.62	57.37
	24.69	74.06
	91.05	39.81
	102.39	27.04
	77.29	29.21
	86.94	68.95
	132.49	68.06
	34.91	46.84
	93.03	91.05
	55.2	49.38
	45.52	46.84
	24.69	41.31
	176.31	84.81
	65.32	81.13
	29.21	31.23
	29.21	103.57
	24.69	67.16
	24.69	58.42
	24.69	36.62
	67.16	76.49
	210.07	38.25
	31.23	27.04
	67.16	100.59
	29.21	56.3
	24.69	36.62
	27.04	69.83
	60.47	48.13
	34.91	76.49
	51.79	54.09
	55.2	48.13
	97.51	31.23
	24.69	31.23
	31.23	24.69
	48.13	24.69
	29.21	29.21
	54.09	29.21
	31.23	33.12
	88.33	59.46
	65.32	68.06
	36.62	
	55.2	
	222.47	
	29.21	
	62.46	
	68.95	
	94.33	
	137.46	
	29.21	
	59.46	
	31.23	
	29.21	
	99.98	
	33.12	
	31.23	
	38.25	
	143.96	
	24.69	
	72.4	
	84.08	
	109.86	
	62.46	
	46.84	
	31.23	
	86.23	
	173.17	
	24.69	
	27.04	
	91.71	
	56.3	
	160.0	
	24.69	
	27.04	
	31.23	
	33.12	
	66.25	
	125.4	
	148.54	
	29.21	
	84.08	
	88.33	
	29.21	
	27.04	
	36.62	
	51.79	
	69.83	
	34.91	
	81.88	
	24.69	
	24.69	
	52.95	
