feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,12,1148.89,38.25,3490.7,328.6,2.0276,2.0296
4,9,861.67,33.12,781.69,554.47,1.9886,1.9906
7,247,23648.04,173.52,2393.38,1499.28,2.4445,2.4465
11,14,1340.37,41.31,2290.33,1506.15,2.1009,2.1029
12,18,1723.34,46.84,2502.17,1523.16,1.9503,1.9523
14,5,478.71,24.69,2266.14,1538.16,1.9263,1.9283
19,14,1340.37,41.31,4443.67,2570.59,2.1547,2.1567
22,30,2872.23,60.47,4350.95,2632.42,1.925,1.927
24,7,670.19,29.21,4326.25,2686.61,1.9447,1.9467
25,6,574.45,27.04,1373.12,3305.61,1.8782,1.8802
26,8,765.93,31.23,1439.58,3298.68,1.9932,1.9952
39,7,670.19,29.21,1522.23,3437.24,1.9142,1.9162
41,5,478.71,24.69,1571.43,3504.89,1.927,1.929
45,10,957.41,34.91,1500.0,3575.34,1.9825,1.9845
47,7,670.19,29.21,1530.61,3597.99,1.8675,1.8696
50,15,1436.12,42.76,1710.37,3660.8,2.1349,2.137
60,5,478.71,24.69,4628.18,4295.5,1.8594,1.8614
61,41,3925.38,70.7,4654.43,4343.23,2.2356,2.2377
62,37,3542.42,67.16,4262.44,4420.58,2.051,2.053
65,46,4404.09,74.88,4509.06,4471.2,2.2309,2.2329
66,7,670.19,29.21,4372.38,4438.08,1.9591,1.9611
71,8,765.93,31.23,4449.61,4482.63,1.8646,1.8667
74,5,478.71,24.69,4418.79,4512.72,1.9314,1.9334
