Index	Time (s)	Raw_ADC_Code
199	-3.136640000e+00	-32768
200	-3.136320000e+00	-32768
201	-3.136000000e+00	-32768
202	-3.135680000e+00	-32768
203	-3.135360000e+00	-32768
204	-3.135040000e+00	-32768
205	-3.134720000e+00	-32768
206	-3.134400000e+00	-32768
207	-3.134080000e+00	-32768
208	-3.133760000e+00	-32768
209	-3.133440000e+00	-32768
210	-3.133120000e+00	-32768
211	-3.132800000e+00	-32768
212	-3.132480000e+00	-32768
213	-3.132160000e+00	-32768
214	-3.131840000e+00	-32768
215	-3.131520000e+00	-32768
216	-3.131200000e+00	-32768
217	-3.130880000e+00	-32768
218	-3.130560000e+00	-32768
219	-3.130240000e+00	-32768
220	-3.129920000e+00	-32768
221	-3.129600000e+00	-32768
222	-3.129280000e+00	-32768
223	-3.128960000e+00	-32768
224	-3.128640000e+00	-32768
225	-3.128320000e+00	-32768
226	-3.128000000e+00	-32768
227	-3.127680000e+00	-32768
228	-3.127360000e+00	-32768
229	-3.127040000e+00	-32768
230	-3.126720000e+00	-32768
231	-3.126400000e+00	-32768
232	-3.126080000e+00	-32768
233	-3.125760000e+00	-32768
234	-3.125440000e+00	-32768
235	-3.125120000e+00	-32768
236	-3.124800000e+00	-32768
237	-3.124480000e+00	-32768
238	-3.124160000e+00	-32768
239	-3.123840000e+00	-32768
240	-3.123520000e+00	-32768
241	-3.123200000e+00	-32768
242	-3.122880000e+00	-32768
243	-3.122560000e+00	-32768
244	-3.122240000e+00	-32768
245	-3.121920000e+00	-32768
246	-3.121600000e+00	-32768
247	-3.121280000e+00	-32768
248	-3.120960000e+00	-32768
249	-3.120640000e+00	-32768
250	-3.120320000e+00	-32768
251	-3.120000000e+00	-32768
252	-3.119680000e+00	-32768
253	-3.119360000e+00	-32768
254	-3.119040000e+00	-32768
255	-3.118720000e+00	-32768
256	-3.118400000e+00	-32768
257	-3.118080000e+00	-32768
258	-3.117760000e+00	-32768
259	-3.117440000e+00	-32768
260	-3.117120000e+00	-32768
261	-3.116800000e+00	-32768
262	-3.116480000e+00	-32768
263	-3.116160000e+00	-32768
264	-3.115840000e+00	-32768
265	-3.115520000e+00	-32768
266	-3.115200000e+00	-32768
267	-3.114880000e+00	-32768
268	-3.114560000e+00	-32768
269	-3.114240000e+00	-32768
270	-3.113920000e+00	-32768
271	-3.113600000e+00	-32768
272	-3.113280000e+00	-32768
273	-3.112960000e+00	-32768
274	-3.112640000e+00	-32768
275	-3.112320000e+00	-32768
276	-3.112000000e+00	-32768
277	-3.111680000e+00	-32768
278	-3.111360000e+00	-32768
279	-3.111040000e+00	-32768
