Index	Time (s)	Voltage (V)
145	-3.153920000e+00	-2.621440000e+02
146	-3.153600000e+00	-2.621440000e+02
147	-3.153280000e+00	-2.621440000e+02
148	-3.152960000e+00	-2.621440000e+02
149	-3.152640000e+00	-2.621440000e+02
150	-3.152320000e+00	-2.621440000e+02
151	-3.152000000e+00	-2.621440000e+02
152	-3.151680000e+00	-2.621440000e+02
153	-3.151360000e+00	-2.621440000e+02
154	-3.151040000e+00	-2.621440000e+02
155	-3.150720000e+00	-2.621440000e+02
156	-3.150400000e+00	-2.621440000e+02
157	-3.150080000e+00	-2.621440000e+02
158	-3.149760000e+00	-2.621440000e+02
159	-3.149440000e+00	-2.621440000e+02
160	-3.149120000e+00	-2.621440000e+02
161	-3.148800000e+00	-2.621440000e+02
162	-3.148480000e+00	-2.621440000e+02
163	-3.148160000e+00	-2.621440000e+02
164	-3.147840000e+00	-2.621440000e+02
165	-3.147520000e+00	-2.621440000e+02
166	-3.147200000e+00	-2.621440000e+02
167	-3.146880000e+00	-2.621440000e+02
168	-3.146560000e+00	-2.621440000e+02
169	-3.146240000e+00	-2.621440000e+02
170	-3.145920000e+00	-2.621440000e+02
171	-3.145600000e+00	-2.621440000e+02
172	-3.145280000e+00	-2.621440000e+02
173	-3.144960000e+00	-2.621440000e+02
174	-3.144640000e+00	-2.621440000e+02
175	-3.144320000e+00	-2.621440000e+02
176	-3.144000000e+00	-2.621440000e+02
177	-3.143680000e+00	-2.621440000e+02
178	-3.143360000e+00	-2.621440000e+02
179	-3.143040000e+00	-2.621440000e+02
180	-3.142720000e+00	-2.621440000e+02
181	-3.142400000e+00	-2.621440000e+02
182	-3.142080000e+00	-2.621440000e+02
183	-3.141760000e+00	-2.621440000e+02
184	-3.141440000e+00	-2.621440000e+02
185	-3.141120000e+00	-2.621440000e+02
186	-3.140800000e+00	-2.621440000e+02
187	-3.140480000e+00	-2.621440000e+02
188	-3.140160000e+00	-2.621440000e+02
189	-3.139840000e+00	-2.621440000e+02
190	-3.139520000e+00	-2.621440000e+02
191	-3.139200000e+00	-2.621440000e+02
192	-3.138880000e+00	-2.621440000e+02
193	-3.138560000e+00	-2.621440000e+02
194	-3.138240000e+00	-2.621440000e+02
195	-3.137920000e+00	-2.621440000e+02
196	-3.137600000e+00	-2.621440000e+02
197	-3.137280000e+00	-2.621440000e+02
