Si.ito.2pacz.pmma.12hr_anneal+tganneal	Si.ito.2pacz.pmma.12hr_anneal	testing
58.082	88.181	66.996
125.611	61.092	52.45
46.73	55.499	49.777
78.954	57.123	57.277
102.265	63.715	49.356
43.295	56.06	53.938
89.642	51.503	
	44.558	
	64.646	
	98.573	
	41.134	
	89.735	
	44.43	
	39.727	
	41.799	
	56.008	
	51.865	
	54.021	
	63.27	
	59.732	
	74.302	
	61.607	
	32.833	
	95.699	
	57.957	
	54.395	
	64.854	
	49.38	
	34.162	
	88.244	
	60.866	
	72.489	
