feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
216,28,10723.0,116.85,7191.08,9066.26,-8.882,8.8674
217,11,4212.61,73.24,4079.35,9057.11,-6.8057,6.7911
218,15,5744.46,85.52,7885.19,9086.76,-6.9684,6.9537
219,16,6127.43,88.33,6086.11,9090.02,-8.2586,8.2439
221,11,4212.61,73.24,8573.21,9283.05,-8.0078,7.9932
222,143,54763.88,264.06,9242.26,9430.57,-11.5893,11.5747
223,7,2680.75,58.42,6312.55,9368.19,-6.5399,6.5253
229,8,3063.71,62.46,750.98,9408.02,-6.8254,6.8107
230,52,19914.14,159.23,5322.52,9456.57,-12.0334,12.0187
233,16,6127.43,88.33,9672.21,9460.62,-5.5777,5.5631
234,51,19531.18,157.7,4542.8,9512.3,-10.0067,9.9921
236,26,9957.07,112.6,6864.37,9583.77,-9.1652,9.1506
237,17,6510.39,91.05,9526.88,9567.17,-5.5957,5.5811
238,11,4212.61,73.24,3047.5,9585.48,-7.1288,7.1142
240,17,6510.39,91.05,1087.83,9650.05,-8.7601,8.7454
242,6,2297.79,54.09,9647.75,9637.96,-5.4402,5.4255
