feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
4,6,574.45,27.04,2191.78,363.67,2.4413,2.4944
10,6,574.45,27.04,3869.86,464.77,6.6194,6.6725
16,8,765.93,31.23,1834.64,636.01,8.6221,8.6752
17,311,29775.47,194.71,375.66,748.2,6.3099,6.363
18,8,765.93,31.23,463.55,653.13,2.5106,2.5637
21,10,957.41,34.91,518.59,765.17,2.4913,2.5444
24,6,574.45,27.04,466.41,823.55,2.1947,2.2478
28,14,1340.37,41.31,1858.4,916.27,4.2884,4.3415
29,6,574.45,27.04,347.36,939.33,7.3475,7.4006
30,8,765.93,31.23,3044.28,1040.85,3.5644,3.6175
32,5,478.71,24.69,4299.41,1107.63,2.5578,2.6109
37,6,574.45,27.04,4103.07,1462.82,2.5592,2.6123
38,16,1531.86,44.16,2770.3,1479.33,4.6795,4.7326
39,21,2010.56,50.6,4425.03,1488.68,4.3432,4.3963
43,6,574.45,27.04,1651.99,1811.81,2.5267,2.5798
45,10,957.41,34.91,1292.56,1907.05,9.3371,9.3902
46,246,23552.3,173.17,1784.24,2019.47,4.4517,4.5048
59,5,478.71,24.69,4242.66,2643.84,2.988,3.0411
60,21,2010.56,50.6,925.36,2730.87,4.004,4.0571
64,28,2680.75,58.42,694.02,2881.6,7.7202,7.7733
67,9,861.67,33.12,1804.74,2943.03,9.038,9.0911
68,19,1819.08,48.13,3593.57,3029.66,10.9061,10.9592
69,20,1914.82,49.38,2781.8,3331.7,4.8101,4.8632
71,8,765.93,31.23,1026.17,3356.16,2.6408,2.6939
74,5,478.71,24.69,982.39,3363.99,2.2866,2.3397
76,5,478.71,24.69,968.69,3395.3,2.3846,2.4377
82,12,1148.89,38.25,825.18,3524.95,4.2785,4.3316
83,10,957.41,34.91,3946.18,3760.27,3.1249,3.178
88,8,765.93,31.23,1971.62,3938.36,8.0554,8.1085
90,6,574.45,27.04,4357.47,4075.34,8.0194,8.0725
91,8,765.93,31.23,1257.34,4300.39,8.0152,8.0683
94,757,72475.98,303.78,4433.18,4468.54,6.5282,6.5813
98,8,765.93,31.23,4675.88,4355.43,2.8147,2.8678
105,150,14361.16,135.22,2297.26,4563.6,3.6439,3.697
106,11,1053.15,36.62,2381.25,4497.42,2.6856,2.7387
109,17,1627.6,45.52,4298.95,4596.52,4.4945,4.5476
112,15,1436.12,42.76,4576.65,4652.97,2.6967,2.7498
114,9,861.67,33.12,4620.57,4664.06,2.4116,2.4647
