feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
5,25,2393.53,55.2,713.11,1180.04,2.3563,2.4188
11,5,478.71,24.69,1634.05,3180.04,1.95,2.0124
15,65,6223.17,89.01,2042.6,3859.55,2.2847,2.3471
21,6,574.45,27.04,4427.59,3904.11,2.0701,2.1325
23,5,478.71,24.69,2058.71,3951.08,1.9391,2.0015
29,11,1053.15,36.62,4216.33,4168.3,1.9267,1.9892
38,7,670.19,29.21,4310.88,4263.35,1.9789,2.0413
39,6,574.45,27.04,4274.3,4269.41,2.0373,2.0998
45,6,574.45,27.04,4333.01,4381.93,2.0026,2.065
46,20,1914.82,49.38,1320.94,4432.49,2.1507,2.2131
47,12,1148.89,38.25,1356.0,4403.95,1.9559,2.0183
49,22,2106.3,51.79,4085.13,4436.04,2.1127,2.1751
51,52,4978.53,79.62,4154.0,4505.68,2.3285,2.3909
54,7,670.19,29.21,1364.27,4493.99,2.1159,2.1784
56,5,478.71,24.69,1285.71,4500.98,1.9841,2.0465
58,8,765.93,31.23,4204.99,4543.79,1.9977,2.0601
60,15,1436.12,42.76,1239.4,4599.48,2.2078,2.2702
62,6,574.45,27.04,3977.5,4603.72,2.0711,2.1336
63,12,1148.89,38.25,4167.48,4652.64,2.1042,2.1666
