set_mw,measured_mw,error_mw,error_pct,wavelength_nm,timestamp
0.1,9.038052704999999e-06,-0.09999096194729501,-99.990961947295,,2026-02-09T14:12:29.131730
0.2,8.340362801e-06,-0.199991659637199,-99.9958298185995,,2026-02-09T14:12:29.131730
0.3,8.470527479e-06,-0.299991529472521,-99.99717649084033,,2026-02-09T14:12:29.131730
0.4,8.522596585e-06,-0.399991477403415,-99.99786935085375,,2026-02-09T14:12:29.131730
0.5,8.413255603e-06,-0.499991586744397,-99.9983173488794,,2026-02-09T14:12:29.131730
0.6,8.423676645e-06,-0.599991576323355,-99.9985960538925,,2026-02-09T14:12:29.131730
0.7,7.845737793e-06,-0.699992154262207,-99.99887918031528,,2026-02-09T14:12:29.131730
0.8,8.064405055999998e-06,-0.7999919355949441,-99.998991949368,,2026-02-09T14:12:29.131730
0.9,8.324742140000001e-06,-0.8999916752578601,-99.99907502865112,,2026-02-09T14:12:29.131730
1.0,0.0003745441348,-0.9996254558652,-99.96254558652001,,2026-02-09T14:12:29.131730
1.1,0.001098626183,-1.0989013738170001,-99.90012489245456,,2026-02-09T14:12:29.131730
1.2,0.00309157681,-1.19690842319,-99.74236859916668,,2026-02-09T14:12:29.131730
1.3,0.004818032539000001,-1.2951819674610001,-99.62938211238462,,2026-02-09T14:12:29.131730
1.4,0.006767735658999999,-1.393232264341,-99.51659031007144,,2026-02-09T14:12:29.131730
1.5,0.0127478851,-1.4872521149,-99.15014099333334,,2026-02-09T14:12:29.131730
1.6,0.01793201664,-1.58206798336,-98.87924896,,2026-02-09T14:12:29.131730
1.7,0.026060192989999998,-1.67393980701,-98.46704747117647,,2026-02-09T14:12:29.131730
1.8,0.04113767828,-1.7588623217200001,-97.7145734288889,,2026-02-09T14:12:29.131730
1.9,0.04762359895,-1.85237640105,-97.49349479210527,,2026-02-09T14:12:29.131730
2.0,0.0547425967,-1.9452574033,-97.26287016500001,,2026-02-09T14:12:29.131730
2.1,0.07676544117999999,-2.02323455882,-96.34450280095238,,2026-02-09T14:12:29.131730
2.2,0.09523620977,-2.1047637902300003,-95.67108137409092,,2026-02-09T14:12:29.131730
2.3,0.11869985890000001,-2.1813001411,-94.83913656956521,,2026-02-09T14:12:29.131730
2.4,0.1786297231,-2.2213702769,-92.55709487083334,,2026-02-09T14:12:29.131730
2.5,0.22469156240000002,-2.2753084376,-91.012337504,,2026-02-09T14:12:29.131730
2.6,0.2665984095,-2.3334015905000003,-89.74621501923077,,2026-02-09T14:12:29.131730
2.7,0.3506067237,-2.3493932763000003,-87.0145657888889,,2026-02-09T14:12:29.131730
2.8,0.39455180830000003,-2.4054481916999997,-85.9088639892857,,2026-02-09T14:12:29.131730
2.9,0.45371712769999994,-2.4462828723,-84.35458180344827,,2026-02-09T14:12:29.131730
3.0,0.5212505114,-2.4787494886,-82.62498295333333,,2026-02-09T14:12:29.131730
3.1,0.5795657052000001,-2.5204342948000003,-81.30433209032259,,2026-02-09T14:12:29.131730
3.2,0.6236746735,-2.5763253265,-80.510166453125,,2026-02-09T14:12:29.131730
3.3,0.6987567000999999,-2.6012432999,-78.82555454242424,,2026-02-09T14:12:29.131730
3.4,0.7463839488999999,-2.6536160511,-78.04753091470589,,2026-02-09T14:12:29.131730
3.5,0.8085297946000001,-2.6914702054,-76.89914872571428,,2026-02-09T14:12:29.131730
3.6,0.8771641879000001,-2.7228358121,-75.63432811388888,,2026-02-09T14:12:29.131730
3.7,0.9426337433999998,-2.7573662566,-74.52341234054055,,2026-02-09T14:12:29.131730
3.8,0.9900612406999999,-2.8099387593,-73.94575682368422,,2026-02-09T14:12:29.131730
3.9,1.08084489,-2.8191551099999996,-72.28602846153845,,2026-02-09T14:12:29.131730
4.0,1.1196585380000001,-2.8803414619999996,-72.00853654999999,,2026-02-09T14:12:29.131730
4.1,1.1723147699999998,-2.92768523,-71.4069568292683,,2026-02-09T14:12:29.131730
4.2,1.265080367,-2.9349196330000002,-69.87903888095238,,2026-02-09T14:12:29.131730
4.3,1.3095222300000002,-2.9904777699999996,-69.54599465116277,,2026-02-09T14:12:29.131730
4.4,1.3568523929999998,-3.0431476070000008,-69.16244561363636,,2026-02-09T14:12:29.131730
4.5,1.45208129,-3.0479187100000003,-67.7315268888889,,2026-02-09T14:12:29.131730
4.6,1.493936915,-3.1060630849999997,-67.52311054347825,,2026-02-09T14:12:29.131730
