feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,7,670.19,29.21,1344.7,304.72,-2.4923,2.4684
2,35,3350.94,65.32,2854.07,331.84,-3.7389,3.715
3,6,574.45,27.04,3987.28,322.9,-2.6134,2.5895
4,30,2872.23,60.47,2284.74,534.25,-3.1858,3.1619
5,19,1819.08,48.13,4298.07,525.29,-3.0161,2.9922
6,68,6510.39,91.05,3595.17,573.85,-3.4749,3.4511
7,10,957.41,34.91,677.1,610.57,-2.4793,2.4554
9,49,4691.31,77.29,2118.5,713.49,-3.3448,3.3209
11,15,1436.12,42.76,3067.84,894.32,-3.1703,3.1464
13,14,1340.37,41.31,3543.47,1065.84,-3.3889,3.365
16,13,1244.63,39.81,1741.68,1132.02,-3.2408,3.217
18,16,1531.86,44.16,2038.89,1228.6,-2.7896,2.7657
19,11,1053.15,36.62,1711.44,1330.72,-2.5854,2.5616
21,49,4691.31,77.29,4050.28,1440.75,-5.2162,5.1923
23,21,2010.56,50.6,1974.19,1640.11,-2.8601,2.8363
24,6,574.45,27.04,2950.1,1653.62,-2.9093,2.8855
26,94,8999.66,107.05,1260.15,1827.14,-4.1159,4.0921
27,20,1914.82,49.38,2668.3,1910.96,-2.772,2.7482
28,21,2010.56,50.6,3414.41,1931.79,-2.7234,2.6996
31,32,3063.71,62.46,1922.7,2444.35,-2.6917,2.6678
32,55,5265.76,81.88,3927.95,2501.69,-4.115,4.0912
33,23,2202.04,52.95,1417.94,2592.53,-2.9406,2.9168
34,11,1053.15,36.62,2868.71,2590.29,-2.5483,2.5245
35,22,2106.3,51.79,3277.0,2652.55,-3.171,3.1472
36,5,478.71,24.69,3156.56,2657.53,-2.0369,2.013
40,33,3159.45,63.43,4504.83,2864.85,-4.1492,4.1253
43,28,2680.75,58.42,1176.27,2989.24,-3.7462,3.7223
44,36,3446.68,66.25,3578.77,3073.22,-3.4115,3.3876
45,15,1436.12,42.76,693.41,3216.57,-2.5257,2.5019
46,34,3255.2,64.38,4677.68,3235.87,-3.3353,3.3115
47,65,6223.17,89.01,995.79,3284.51,-3.4634,3.4396
48,34,3255.2,64.38,1980.26,3393.29,-3.1224,3.0986
51,11,1053.15,36.62,3084.86,3560.75,-2.5702,2.5463
56,35,3350.94,65.32,343.58,3963.66,-3.4074,3.3835
57,63,6031.69,87.63,4366.01,4001.96,-3.5454,3.5216
59,56,5361.5,82.62,2452.3,4040.05,-3.7748,3.751
63,15,1436.12,42.76,465.75,4110.24,-2.1244,2.1006
66,8,765.93,31.23,1384.54,4143.84,-2.3285,2.3046
67,9,861.67,33.12,2571.21,4153.08,-2.6774,2.6536
69,9,861.67,33.12,879.54,4212.87,-2.3575,2.3337
70,57,5457.24,83.36,1052.46,4224.09,-3.9726,3.9488
71,15,1436.12,42.76,2404.44,4234.18,-2.7815,2.7577
72,85,8137.99,101.79,3661.79,4249.22,-4.0814,4.0575
74,51,4882.79,78.85,1688.15,4291.28,-3.7377,3.7138
75,6,574.45,27.04,335.94,4466.73,-2.2945,2.2707
76,5,478.71,24.69,769.08,4483.37,-2.8485,2.8246
