feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,37,3542.42,67.16,2265.83,340.35,-3.2188,3.2215
2,362,34658.26,210.07,4069.96,379.39,-7.8836,7.8863
4,8,765.93,31.23,4245.35,418.3,-2.2729,2.2756
5,37,3542.42,67.16,3189.82,445.34,-2.9663,2.969
10,7,670.19,29.21,4414.31,465.47,-2.2376,2.2403
11,5,478.71,24.69,1048.92,481.41,-2.8979,2.9006
12,6,574.45,27.04,3145.79,484.34,-2.2433,2.246
17,30,2872.23,60.47,1834.96,740.05,-3.2617,3.2644
20,10,957.41,34.91,1772.02,742.66,-2.9717,2.9745
22,22,2106.3,51.79,1578.46,790.34,-2.8456,2.8483
27,25,2393.53,55.2,3632.49,935.42,-3.1324,3.1352
28,78,7467.8,97.51,1171.66,991.9,-3.5351,3.5379
29,5,478.71,24.69,3585.13,954.99,-2.6547,2.6574
33,8,765.93,31.23,1111.79,1042.07,-2.6504,2.6531
35,19,1819.08,48.13,2809.25,1128.33,-3.7047,3.7074
38,7,670.19,29.21,2848.76,1118.26,-2.6002,2.6029
39,24,2297.79,54.09,4687.7,1286.69,-2.9209,2.9236
40,8,765.93,31.23,3731.65,1330.72,-2.6839,2.6866
42,64,6127.43,88.33,3748.32,1404.57,-3.5394,3.5421
43,35,3350.94,65.32,4218.34,1422.98,-3.041,3.0437
44,11,1053.15,36.62,2467.53,1489.06,-3.4539,3.4567
45,25,2393.53,55.2,2428.57,1515.07,-3.0177,3.0204
46,406,38870.87,222.47,2174.67,1647.31,-6.365,6.3677
49,7,670.19,29.21,2372.1,1543.19,-2.4483,2.4511
50,32,3063.71,62.46,1048.8,1582.68,-3.7338,3.7365
59,39,3733.9,68.95,962.17,1775.55,-3.578,3.5807
61,73,6989.1,94.33,2874.43,1855.61,-3.5159,3.5186
68,155,14839.86,137.46,3076.13,1992.55,-5.1809,5.1837
70,7,670.19,29.21,1450.94,2043.61,-2.5769,2.5796
75,29,2776.49,59.46,4678.79,2140.5,-3.9001,3.9028
76,8,765.93,31.23,1214.53,2153.86,-2.7456,2.7483
77,7,670.19,29.21,1169.97,2159.63,-2.7097,2.7125
79,82,7850.77,99.98,1856.24,2269.7,-3.9874,3.9901
81,9,861.67,33.12,4124.81,2291.8,-2.395,2.3977
82,8,765.93,31.23,4075.34,2304.31,-2.4671,2.4698
83,12,1148.89,38.25,520.22,2418.46,-2.3685,2.3712
85,170,16275.98,143.96,3881.2,2472.78,-4.9374,4.9402
89,5,478.71,24.69,3262.23,2516.63,-2.5603,2.563
91,43,4116.87,72.4,967.55,2626.18,-3.4737,3.4765
92,58,5552.98,84.08,2618.09,2727.24,-3.9894,3.9921
96,99,9478.36,109.86,4344.72,2867.52,-4.9992,5.0019
99,32,3063.71,62.46,537.24,2930.22,-2.6283,2.631
100,18,1723.34,46.84,852.9,2916.94,-3.2456,3.2484
102,8,765.93,31.23,2108.61,2942.76,-2.7814,2.7841
104,61,5840.2,86.23,3474.22,3001.35,-3.8071,3.8098
106,246,23552.3,173.17,439.28,3062.82,-5.4701,5.4728
107,5,478.71,24.69,581.21,3054.79,-2.4377,2.4404
109,6,574.45,27.04,1609.59,3106.65,-2.5261,2.5288
110,69,6606.13,91.71,4225.87,3201.45,-3.9938,3.9965
114,26,2489.27,56.3,2946.33,3260.58,-3.3999,3.4026
119,210,20105.62,160.0,2367.58,3469.53,-5.3346,5.3373
120,5,478.71,24.69,2457.93,3391.39,-2.1569,2.1597
122,6,574.45,27.04,3786.69,3400.2,-2.6015,2.6042
123,8,765.93,31.23,3743.88,3428.33,-3.2193,3.222
125,9,861.67,33.12,3775.82,3449.66,-3.0417,3.0444
126,36,3446.68,66.25,4206.35,3514.08,-3.6328,3.6355
131,129,12350.6,125.4,568.65,3678.91,-4.0305,4.0332
137,181,17329.13,148.54,1612.54,3746.2,-5.1976,5.2003
141,7,670.19,29.21,1484.48,3736.37,-2.4153,2.4181
144,58,5552.98,84.08,1748.77,3928.07,-4.123,4.1257
146,64,6127.43,88.33,3098.09,4020.3,-3.5538,3.5566
150,7,670.19,29.21,2558.01,4057.87,-2.4649,2.4676
151,6,574.45,27.04,4284.08,4060.67,-2.627,2.6298
155,11,1053.15,36.62,676.04,4251.02,-2.6211,2.6239
156,22,2106.3,51.79,2168.65,4356.43,-3.4255,3.4282
157,40,3829.64,69.83,2210.13,4386.5,-3.5126,3.5154
159,10,957.41,34.91,2867.91,4439.33,-2.8034,2.8061
163,55,5265.76,81.88,3505.78,4570.54,-3.286,3.2887
166,5,478.71,24.69,1037.18,4594.91,-2.465,2.4678
168,5,478.71,24.69,988.26,4618.4,-2.9083,2.911
171,23,2202.04,52.95,2462.35,4679.66,-3.075,3.0777
