feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
2,16,1531.86,44.16,4061.89,319.84,4.2405,4.2377
4,7,670.19,29.21,535.36,327.09,2.2779,2.2752
5,445,42604.77,232.91,440.91,510.96,4.821,4.8183
11,6,574.45,27.04,1891.72,631.12,8.568,8.5653
22,5,478.71,24.69,1264.19,1444.23,2.1919,2.1891
24,5,478.71,24.69,1285.71,1461.84,2.1642,2.1615
27,13,1244.63,39.81,1334.49,1521.15,2.4614,2.4587
31,5,478.71,24.69,1596.87,1561.64,2.3978,2.3951
32,5,478.71,24.69,1510.76,1567.51,2.4093,2.4066
34,6,574.45,27.04,3931.83,1572.08,2.2497,2.247
38,11,1053.15,36.62,3944.14,1628.71,2.4433,2.4406
41,7,670.19,29.21,2175.01,1652.22,4.2022,4.1995
42,5,478.71,24.69,2158.51,1681.02,2.8897,2.887
48,12,1148.89,38.25,3043.87,1821.59,10.3478,10.3451
63,5,478.71,24.69,1673.19,2113.5,2.4183,2.4155
65,7,670.19,29.21,1639.64,2149.85,2.3034,2.3006
74,11,1053.15,36.62,1791.5,2334.99,10.7963,10.7936
90,7,670.19,29.21,2365.11,3125.52,2.5231,2.5204
94,13,1244.63,39.81,2354.36,3456.27,4.0293,4.0266
95,9,861.67,33.12,2300.5,3460.53,8.2194,8.2167
97,8,765.93,31.23,949.12,3791.59,9.2066,9.2039
108,9,861.67,33.12,1705.81,4601.0,2.3309,2.3282
111,7,670.19,29.21,2289.63,4653.34,2.6088,2.6061
