feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,10,957.41,34.91,1012.72,311.15,2.4294,2.4272
2,24,2297.79,54.09,1612.44,361.63,3.6851,3.6829
4,9,861.67,33.12,612.09,526.2,2.0326,2.0304
7,43,4116.87,72.4,4551.27,565.92,4.5343,4.5322
9,8,765.93,31.23,4500.98,611.55,2.0819,2.0798
13,5,478.71,24.69,3095.89,726.03,1.874,1.8718
14,10,957.41,34.91,1008.81,743.64,1.758,1.7559
16,5,478.71,24.69,4046.97,898.24,2.5605,2.5584
19,10,957.41,34.91,3194.72,1015.66,2.1666,2.1645
25,17,1627.6,45.52,1027.4,1391.16,2.4139,2.4118
29,16,1531.86,44.16,2883.44,1752.69,2.3014,2.2993
31,18,1723.34,46.84,1555.23,1910.74,3.1445,3.1424
33,430,41168.65,228.95,2237.52,2428.5,15.8484,15.8462
36,6,574.45,27.04,3799.74,2340.18,1.8821,1.88
40,6,574.45,27.04,4218.85,2467.38,2.1351,2.133
41,5,478.71,24.69,3097.85,2610.57,1.8315,1.8293
43,11,1053.15,36.62,3729.76,2640.1,3.0333,3.0312
45,18,1723.34,46.84,2495.11,2701.13,1.9276,1.9255
47,7,670.19,29.21,2443.39,2762.09,1.809,1.8069
48,15,1436.12,42.76,879.32,2821.27,2.3261,2.324
51,12,1148.89,38.25,2431.51,3039.79,2.9737,2.9716
54,9,861.67,33.12,4171.56,3257.23,1.7154,1.7133
57,11,1053.15,36.62,4178.08,3395.3,1.6926,1.6905
59,38,3638.16,68.06,503.91,3542.07,3.5103,3.5082
61,15,1436.12,42.76,4168.3,3549.9,1.7667,1.7645
63,8,765.93,31.23,456.21,3575.1,1.8295,1.8273
64,43,4116.87,72.4,4078.41,3620.81,2.256,2.2538
69,6,574.45,27.04,4654.27,3742.66,1.7356,1.7334
79,160,15318.57,139.66,4234.04,4208.54,4.3978,4.3957
80,8,765.93,31.23,1565.56,4241.68,2.1437,2.1416
83,23,2202.04,52.95,3605.89,4405.26,2.7554,2.7533
