feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,6,2297.79,54.09,2961.51,319.63,9.4041,5.3727
2,7,2680.75,58.42,4760.97,321.5,8.7166,6.0602
3,35,13403.75,130.64,4512.72,401.45,5.1183,9.6584
4,72,27573.42,187.37,1094.26,483.26,0.0,14.7767
6,7,2680.75,58.42,5029.35,606.65,8.8708,5.9059
7,52,19914.14,159.23,4113.73,712.4,2.2365,12.5403
8,6,2297.79,54.09,5358.77,727.33,5.0986,9.6782
9,22,8425.21,103.57,560.4,781.0,7.0356,7.7412
10,11,4212.61,73.24,1254.23,759.65,8.8247,5.952
11,9,3446.68,66.25,645.79,848.01,8.7645,6.0123
13,20,7659.28,98.75,1952.05,905.09,6.3255,8.4513
16,32,12254.86,124.91,5692.27,1122.8,2.9501,11.8267
17,29,11105.96,118.91,3522.5,1089.14,6.1259,8.6509
20,20,7659.28,98.75,4719.18,1148.73,8.0029,6.7738
22,10,3829.64,69.83,2788.65,1185.91,9.082,5.6947
24,29,11105.96,118.91,2100.68,1595.92,4.5527,10.2241
26,20,7659.28,98.75,4000.0,1638.94,6.1463,8.6304
27,32,12254.86,124.91,3203.89,1784.49,2.6067,12.17
28,17,6510.39,91.05,966.96,1783.12,7.2922,7.4845
29,22,8425.21,103.57,3028.82,1794.16,6.8697,7.907
30,10,3829.64,69.83,4575.34,1816.05,7.704,7.0727
33,14,5361.5,82.62,2900.48,2120.49,8.8142,5.9625
34,12,4595.57,76.49,5169.6,2134.7,7.697,7.0797
35,20,7659.28,98.75,1324.85,2227.98,7.8163,6.9604
36,17,6510.39,91.05,1615.06,2332.22,6.0055,8.7712
37,15,5744.46,85.52,2320.94,2360.08,8.7143,6.0624
39,39,14935.6,137.9,3994.68,2460.74,4.8656,9.9112
42,33,12637.82,126.85,5037.66,2440.25,6.0342,8.7425
44,8,3063.71,62.46,2876.71,2490.22,7.8365,6.9402
45,9,3446.68,66.25,567.51,2554.9,8.5183,6.2584
46,9,3446.68,66.25,3483.37,2583.17,8.9709,5.8058
47,9,3446.68,66.25,956.73,2781.04,7.8617,6.9151
48,9,3446.68,66.25,2050.45,2831.05,8.5701,6.2066
50,16,6127.43,88.33,950.34,2972.11,8.3458,6.4309
51,17,6510.39,91.05,5695.87,3003.34,6.4092,8.3675
52,30,11488.93,120.95,1614.48,3150.68,6.2466,8.5301
53,23,8808.18,105.9,3187.27,3170.25,5.285,9.4917
54,13,4978.53,79.62,423.0,3201.87,9.3743,5.4024
55,15,5744.46,85.52,2867.58,3227.66,7.531,7.2458
57,32,12254.86,124.91,1856.04,3485.2,7.1006,7.6761
58,21,8042.25,101.19,4210.23,3516.91,6.1235,8.6533
59,5,1914.82,49.38,630.14,3514.68,9.9061,4.8706
60,10,3829.64,69.83,1013.7,3561.64,8.2482,6.5285
61,15,5744.46,85.52,3531.64,3637.31,6.7905,7.9862
62,23,8808.18,105.9,5242.07,3655.24,5.9809,8.7958
67,67,25658.6,180.75,2918.77,3759.38,2.2223,12.5544
69,21,8042.25,101.19,4461.84,3911.1,6.847,7.9298
70,12,4595.57,76.49,3352.9,3984.02,7.5803,7.1965
71,14,5361.5,82.62,5680.74,4055.07,7.7097,7.067
73,6,2297.79,54.09,2713.63,4099.8,8.5312,6.2455
74,7,2680.75,58.42,4196.25,4090.02,8.7523,6.0244
