feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,13,4978.53,79.62,4181.85,328.16,21.0111,6.2343
3,36,13786.71,132.49,336.49,577.3,24.1032,9.3265
4,25,9574.11,110.41,1573.39,517.42,20.996,6.2193
5,20,7659.28,98.75,5235.81,546.97,21.052,6.2752
14,20,7659.28,98.75,3473.58,1338.55,21.5909,6.8142
16,55,21063.03,163.76,5396.9,1512.9,22.6447,7.868
17,10,3829.64,69.83,399.22,1540.12,19.8914,5.1147
21,6,2297.79,54.09,1389.43,1888.45,19.4617,4.685
22,19,7276.32,96.25,3820.17,1909.57,20.0084,5.2317
23,25,9574.11,110.41,4710.76,2267.71,20.57,5.7933
25,46,17616.35,149.77,2601.04,2340.68,23.9064,9.1297
26,36,13786.71,132.49,1537.83,2591.32,23.2071,8.4303
27,25,9574.11,110.41,3848.92,2643.44,19.8995,5.1228
28,42,16084.5,143.11,2172.68,2883.24,27.925,13.1483
29,51,19531.18,157.7,5424.96,2972.26,21.229,6.4523
31,11,4212.61,73.24,4435.15,3051.06,19.9645,5.1877
32,22,8425.21,103.57,3093.76,3243.2,23.45,8.6732
34,29,11105.96,118.91,1314.53,3758.01,22.3876,7.6108
35,8,3063.71,62.46,3889.43,3747.55,19.3922,4.6154
38,49,18765.25,154.57,2903.47,4169.1,22.4306,7.6538
42,9,3446.68,66.25,1798.22,4503.15,19.6963,4.9196
45,25,9574.11,110.41,4477.5,4713.11,20.9366,6.1599
49,81,31020.1,198.74,3229.2,5380.4,29.4779,14.7012
50,38,14552.64,136.12,1629.93,5391.9,21.7248,6.948
51,18,6893.36,93.69,4631.44,5563.17,19.676,4.8993
52,17,6510.39,91.05,2381.72,5981.35,20.9324,6.1556
53,14,5361.5,82.62,828.91,6347.5,20.6814,5.9047
55,41,15701.53,141.39,1448.62,6446.95,21.6209,6.8441
56,10,3829.64,69.83,3733.86,6405.09,19.6483,4.8715
58,23,8808.18,105.9,2828.21,6508.13,19.5419,4.7652
59,5,1914.82,49.38,4544.03,6485.32,19.5906,4.8139
65,14,5361.5,82.62,450.1,6701.15,20.5022,5.7255
67,5,1914.82,49.38,3737.77,6978.47,19.1777,4.401
68,7,2680.75,58.42,1859.1,7246.3,30.0419,15.2651
69,63,24126.75,175.27,2635.04,7305.0,21.598,6.8212
73,53,20297.1,160.76,902.41,7543.48,26.9537,12.177
74,19,7276.32,96.25,4429.91,7582.66,21.261,6.4843
75,33,12637.82,126.85,2581.98,7831.35,21.2518,6.4751
76,16,6127.43,88.33,5035.47,7940.31,21.4922,6.7155
77,19,7276.32,96.25,3284.58,8146.05,20.8542,6.0775
78,21,8042.25,101.19,4487.0,8286.27,21.6044,6.8277
79,65,24892.67,178.03,5060.36,8441.37,25.2673,10.4906
80,46,17616.35,149.77,847.87,8459.54,21.0003,6.2236
81,62,23743.78,173.87,1674.45,8690.11,25.6463,10.8696
82,21,8042.25,101.19,3296.99,8686.98,21.1163,6.3396
83,32,12254.86,124.91,2109.22,9118.15,22.412,7.6353
84,11,4212.61,73.24,323.79,9286.6,22.7423,7.9656
86,86,32934.92,204.78,4214.04,9409.96,29.5103,14.7335
87,25,9574.11,110.41,2918.2,9531.12,32.5552,17.7785
