feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,39,3733.9,68.95,841.49,320.39,-3.4717,3.4563
2,49,4691.31,77.29,4618.79,377.41,-3.9907,3.9752
3,5,478.71,24.69,3185.91,383.56,-2.2291,2.2137
6,8,765.93,31.23,4556.02,472.11,-1.9581,1.9426
7,16,1531.86,44.16,4507.09,496.58,-2.0184,2.003
8,5,478.71,24.69,2802.35,506.85,-2.6573,2.6418
10,5,478.71,24.69,3841.49,686.89,-2.1657,2.1502
11,6,574.45,27.04,4217.22,715.92,-2.0215,2.006
14,13,1244.63,39.81,2054.04,802.35,-2.5061,2.4906
17,12,1148.89,38.25,2906.88,830.89,-2.1373,2.1219
18,9,861.67,33.12,2003.7,842.57,-2.3661,2.3507
19,7,670.19,29.21,2811.01,852.67,-2.0815,2.066
23,9,861.67,33.12,310.94,926.29,-2.4056,2.3901
25,10,957.41,34.91,2929.55,953.03,-1.907,1.8916
26,5,478.71,24.69,3019.57,927.59,-1.783,1.7676
28,7,670.19,29.21,1378.25,951.92,-2.1377,2.1222
29,11,1053.15,36.62,2475.54,968.69,-2.564,2.5485
31,41,3925.38,70.7,4438.93,976.09,-2.8437,2.8282
32,5,478.71,24.69,3052.84,988.26,-1.9063,1.8908
34,26,2489.27,56.3,3953.79,998.04,-2.5299,2.5144
36,30,2872.23,60.47,2962.17,1011.42,-2.0277,2.0122
42,6,574.45,27.04,2928.9,1071.43,-2.3719,2.3565
43,17,1627.6,45.52,2789.23,1095.89,-1.9523,1.9368
46,51,4882.79,78.85,3254.1,1234.41,-3.7449,3.7295
49,5,478.71,24.69,2258.32,1424.66,-2.2434,2.228
55,22,2106.3,51.79,656.02,1695.43,-3.2687,3.2532
56,36,3446.68,66.25,4668.68,1779.19,-2.913,2.8975
57,22,2106.3,51.79,4019.3,1898.24,-2.4102,2.3948
58,28,2680.75,58.42,379.51,1908.72,-3.0116,2.9961
59,76,7276.32,96.25,673.34,1967.76,-3.1273,3.1118
60,15,1436.12,42.76,1532.29,1947.16,-2.4727,2.4573
61,46,4404.09,74.88,3655.24,2067.34,-3.5144,3.4989
62,29,2776.49,59.46,2727.58,2063.57,-3.2595,3.2441
65,32,3063.71,62.46,378.24,2327.54,-3.7389,3.7235
66,9,861.67,33.12,958.9,2446.18,-2.0268,2.0114
68,45,4308.35,74.06,2215.48,2496.41,-3.4187,3.4033
69,12,1148.89,38.25,855.35,2492.66,-2.1009,2.0854
71,19,1819.08,48.13,1095.38,2524.98,-2.0795,2.0641
72,10,957.41,34.91,1232.88,2516.63,-2.3638,2.3484
73,8,765.93,31.23,996.82,2552.59,-1.8745,1.859
75,6,574.45,27.04,4134.05,2553.82,-2.6525,2.637
76,8,765.93,31.23,1636.5,2563.6,-2.5844,2.5689
79,5,478.71,24.69,874.76,2600.78,-1.9214,1.9059
80,8,765.93,31.23,924.66,2608.86,-1.953,1.9375
82,33,3159.45,63.43,794.64,2643.95,-3.6317,3.6163
84,16,1531.86,44.16,1079.99,2660.23,-2.0493,2.0339
85,18,1723.34,46.84,3632.31,2671.78,-3.1653,3.1499
86,13,1244.63,39.81,952.88,2689.3,-1.9493,1.9338
90,28,2680.75,58.42,4017.33,2758.95,-2.9935,2.978
91,39,3733.9,68.95,1184.2,2892.52,-3.3897,3.3743
92,5,478.71,24.69,4048.92,2896.28,-1.9095,1.8941
94,238,22786.37,170.33,3970.14,3058.06,-2.4379,2.4225
96,5,478.71,24.69,3630.14,3003.91,-1.8891,1.8736
97,12,1148.89,38.25,3760.6,3010.44,-1.9095,1.894
102,217,20775.81,162.64,3782.18,3118.35,-3.4326,3.4171
105,6,574.45,27.04,4106.33,3083.82,-1.8711,1.8556
107,6,574.45,27.04,3390.41,3101.76,-2.851,2.8355
110,7,670.19,29.21,4094.21,3188.43,-2.0047,1.9892
114,6,574.45,27.04,3721.46,3212.65,-1.8847,1.8693
115,43,4116.87,72.4,2496.93,3249.9,-3.0084,2.993
120,6,574.45,27.04,1855.84,3253.42,-2.6729,2.6574
122,34,3255.2,64.38,1375.91,3396.45,-3.1972,3.1817
123,39,3733.9,68.95,3083.2,3437.7,-2.9054,2.89
129,36,3446.68,66.25,3915.25,3633.94,-2.8812,2.8657
130,10,957.41,34.91,1694.72,3708.41,-2.5255,2.5101
131,29,2776.49,59.46,4335.31,3772.86,-3.3341,3.3186
134,5,478.71,24.69,896.28,3837.57,-2.2979,2.2825
135,54,5170.02,81.13,937.34,3879.65,-2.9293,2.9138
136,13,1244.63,39.81,3964.32,3992.17,-2.298,2.2826
137,46,4404.09,74.88,2092.87,4043.44,-2.9151,2.8996
138,12,1148.89,38.25,1417.16,4168.3,-2.2642,2.2487
142,23,2202.04,52.95,3847.95,4413.77,-2.6446,2.6292
145,30,2872.23,60.47,1684.28,4609.59,-2.1115,2.096
146,26,2489.27,56.3,548.32,4584.15,-2.723,2.7075
147,5,478.71,24.69,1454.01,4573.39,-1.8009,1.7854
149,9,861.67,33.12,2270.06,4579.26,-2.29,2.2746
151,77,7372.06,96.88,1763.67,4651.31,-3.3538,3.3384
153,39,3733.9,68.95,1591.15,4655.28,-2.0587,2.0433
154,6,574.45,27.04,942.6,4672.21,-2.7324,2.7169
