set_mw,measured_mw,error_mw,error_pct,wavelength_nm,timestamp
0.1,7.94986095e-06,-0.09999205013905,-99.99205013905001,,2026-02-09T13:53:24.423143
0.25,7.408373649999998e-06,-0.24999259162635,-99.99703665054001,,2026-02-09T13:53:24.423143
0.5,7.408373649999998e-06,-0.495359520656,-99.0719041312,,2026-02-09T13:53:24.423143
0.75,9.678474036e-06,-0.749990321525964,-99.9987095367952,,2026-02-09T13:53:24.423143
0.8,9.178635098e-06,-0.7999908213649021,-99.99885267061276,,2026-02-09T13:53:24.423143
0.85,8.470527748e-06,-0.849991529472252,-99.99900346732376,,2026-02-09T13:53:24.423143
0.9,8.366397176e-06,-0.899991633602824,-99.99907040031377,,2026-02-09T13:53:24.423143
0.95,6.13803941e-05,-0.9499386196059,-99.99353890588422,,2026-02-09T13:53:24.423143
0.96,6.231759928000001e-05,-0.95993768240072,-99.99350858340833,,2026-02-09T13:53:24.423143
0.97,0.0001874227196,-0.9698125772803999,-99.98067807014432,,2026-02-09T13:53:24.423143
0.98,0.000189338772,-0.979810661228,-99.98067971714286,,2026-02-09T13:53:24.423143
0.99,0.0001881828922,-0.9898118171078,-99.98099162705051,,2026-02-09T13:53:24.423143
1.0,0.00037772537659999997,-0.9996222746234,-99.96222746234,,2026-02-09T13:53:24.423143
1.1,0.0010879942680000001,-1.098912005732,-99.90109143018182,,2026-02-09T13:53:24.423143
1.2,0.003079691896,-1.1969203081039999,-99.74335900866666,,2026-02-09T13:53:24.423143
1.3,0.004779304708,-1.295220695292,-99.6323611763077,,2026-02-09T13:53:24.423143
1.4,0.006697759818,-1.3933022401819999,-99.52158858442857,,2026-02-09T13:53:24.423143
1.5,0.012651885480000003,-1.48734811452,-99.156540968,,2026-02-09T13:53:24.423143
1.6,0.017798263079999998,-1.58220173692,-98.8876085575,,2026-02-09T13:53:24.423143
1.7,0.025879900219999995,-1.6741200997799999,-98.47765292823529,,2026-02-09T13:53:24.423143
1.8,0.04095789556,-1.75904210444,-97.72456135777777,,2026-02-09T13:53:24.423143
1.9,0.047411551340000004,-1.85258844866,-97.50465519263159,,2026-02-09T13:53:24.423143
2.0,0.05446652358,-1.94553347642,-97.276673821,,2026-02-09T13:53:24.423143
2.1,0.07656056112000001,-2.02343943888,-96.35425899428571,,2026-02-09T13:53:24.423143
2.2,0.09504362825999998,-2.10495637174,-95.6798350790909,,2026-02-09T13:53:24.423143
2.3,0.1186773238,-2.1813226761999998,-94.84011635652173,,2026-02-09T13:53:24.423143
2.4,0.17865226539999998,-2.2213477346,-92.55615560833334,,2026-02-09T13:53:24.423143
2.5,0.2260947862,-2.2739052138,-90.95620855199999,,2026-02-09T13:53:24.423143
2.6,0.26976844520000004,-2.3302315548,-89.62429056923077,,2026-02-09T13:53:24.423143
2.7,0.3558764292,-2.3441235708000003,-86.81939151111112,,2026-02-09T13:53:24.423143
2.8,0.3988741022,-2.4011258977999996,-85.75449634999998,,2026-02-09T13:53:24.423143
2.9,0.456129224,-2.443870776,-84.27140606896552,,2026-02-09T13:53:24.423143
3.0,0.5207076552000001,-2.4792923448,-82.64307816,,2026-02-09T13:53:24.423143
3.25,0.6292670616,-2.6207329383999998,-80.63793656615384,,2026-02-09T13:53:24.423143
3.5,0.7979391376,-2.7020608623999998,-77.20173892571428,,2026-02-09T13:53:24.423143
3.75,0.9422342644,-2.8077657356,-74.87375294933332,,2026-02-09T13:53:24.423143
4.0,1.09239833,-2.90760167,-72.69004175,,2026-02-09T13:53:24.423143
4.25,1.2426545839999998,-3.007345416,-70.76106861176471,,2026-02-09T13:53:24.423143
4.5,1.401504198,-3.098495802,-68.85546226666666,,2026-02-09T13:53:24.423143
4.75,1.514457584,-3.235542416,-68.11668244210526,,2026-02-09T13:53:24.423143
5.0,1.6584045499999998,-3.3415954500000002,-66.831909,,2026-02-09T13:53:24.423143
6.0,2.2570327380000004,-3.7429672619999996,-62.382787699999994,,2026-02-09T13:53:24.423143
7.0,2.841661404,-4.158338596,-59.40483708571429,,2026-02-09T13:53:24.423143
8.0,3.399282552,-4.600717448,-57.508968100000004,,2026-02-09T13:53:24.423143
9.0,4.017820584000001,-4.982179415999999,-55.35754906666666,,2026-02-09T13:53:24.423143
10.0,4.604880978,-5.395119022,-53.95119022,,2026-02-09T13:53:24.423143
12.0,5.79275461,-6.20724539,-51.727044916666664,,2026-02-09T13:53:24.423143
15.0,7.579302134,-7.420697866,-49.47131910666667,,2026-02-09T13:53:24.423143
18.0,9.015527738,-8.984472262,-49.91373478888889,,2026-02-09T13:53:24.423143
20.0,9.951891378000001,-10.048108621999999,-50.24054310999999,,2026-02-09T13:53:24.423143
