12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005	12_Hour_intitial0003	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
3.9988		2.5138	1.6999		9.6227		2.9644	2.9843	2.2654	1.9059	3.3413	3.1173	3.6131	4.0575	2.087
3.0913		2.3905	1.8277		8.1254		2.1093	3.2393	2.0538	1.9375	2.0397	3.7045	2.7823	3.7138	2.7294
2.4858		1.5011	1.8807		12.419		2.0506	2.2017	2.4415	3.6163	2.6902	3.0533	2.3427	2.2707	2.3581
2.8186		2.5912	1.8062		10.983		1.9199	3.4402	2.1273	2.0339	3.2415	2.8481	2.3058	2.8246	3.5694
2.1124		1.4438	1.6068		6.1963		2.9597	2.5512	2.1288	3.1499	2.9647	2.7317	3.1054		3.7813
1.9509		1.6544			6.344		2.8551	2.8116	2.783	1.9338	3.304	2.8137	3.2223		
2.0754		1.9382			9.2721		2.5968	2.015		2.978	2.826		3.5888		
2.0005		1.8437			9.7351		2.0353	1.9316		3.3743	3.8521		3.8251		
2.6961		1.908			7.2552		1.9353	1.9554		1.8941	3.7133				
1.9151		2.0265			7.4666			2.887		2.4225	2.4832				
2.7408		2.4311			6.694			2.5368		1.8736	2.1131				
3.0247		2.7529			10.0798			2.2959		1.894	3.0788				
2.0273		1.6997			7.105					3.4171	2.0655				
2.7719		2.0091			8.2313					1.8556	1.9728				
2.5875		2.6277			8.7824					2.8355	2.0775				
1.9903		1.927			6.4367					1.9892	4.1515				
3.2144		2.2531			6.4733					1.8693	2.0009				
3.2711		1.8433			9.0613					2.993	3.8017				
3.0926		1.712			5.5245					2.6574	3.5717				
2.628		2.1466			7.4184					3.1817					
3.563		1.5538			6.6204					2.89					
2.9716		1.4869			6.1491					2.8657					
2.5956		1.4571			14.66					2.5101					
2.7675					12.1144					3.3186					
3.3799					9.516					2.2825					
2.1905					7.1877					2.9138					
					10.2159					2.2826					
					11.267					2.8996					
					7.2726					2.2487					
					7.1545					2.6292					
					8.8427					2.096					
					5.5111					2.7075					
					11.6685					1.7854					
					10.7309					2.2746					
					9.1423					3.3384					
					7.439					2.0433					
					6.6181					2.7169					
					7.9129										
					10.4439										
					8.0398										
					9.4637										
					6.2336										
					5.991										
					11.1501										
					7.0456										
					9.5619										
					7.4676										
					6.3341										
					7.3044										
					10.0067										
					7.3109										
					8.237										
					7.3129										
					9.0954										
					10.8344										
					5.9568										
					10.6486										
					7.1686										
					6.1634										
					5.7927										
					7.5209										
					10.1898										
					8.5005										
					9.3319										
					8.8648										
					11.3546										
					6.0862										
					9.2937										
					7.0799										
					8.4142										
					8.9104										
					11.1234										
					6.9445										
					9.8574										
					8.3241										
					6.8311										
					8.5999										
					9.4097										
					6.1653										
					5.8988										
					6.5705										
					15.0016										
					7.452										
					6.4704										
					10.4672										
					7.1643										
					7.2939										
					8.1957										
					7.5052										
					7.147										
					15.7215										
					9.2275										
					10.4662										
					8.2907										
					12.3604										
					8.1702										
					6.512										
					6.5229										
					7.7182										
					6.2646										
					11.2591										
					6.9047										
					7.0079										
					9.5805										
					6.9964										
					12.624										
					8.6812										
					14.3687										
					6.0719										
					6.5912										
					5.1663										
					5.0724										
					5.2121										
					5.6254										
					6.8715										
					9.4113										
					9.1341										
					8.8674										
					6.7911										
					6.9537										
					8.2439										
					7.9932										
					11.5747										
					6.5253										
					6.8107										
					12.0187										
					5.5631										
					9.9921										
					9.1506										
					5.5811										
					7.1142										
					8.7454										
					5.4255										
