feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,97,9286.88,108.74,1360.68,812.44,2.2334,2.1973
4,9,861.67,33.12,1456.84,796.91,1.9841,1.9479
9,5,478.71,24.69,1551.86,859.1,1.9492,1.913
15,5,478.71,24.69,1424.66,902.15,2.0145,1.9783
16,9,861.67,33.12,1374.21,921.94,1.9701,1.934
21,6,574.45,27.04,2886.5,1355.19,2.2336,2.1974
27,7,670.19,29.21,1467.71,1452.33,1.9279,1.8917
28,5,478.71,24.69,1495.11,1469.67,1.9961,1.9599
38,108,10340.03,114.74,1480.94,1665.49,2.4113,2.3752
39,41,3925.38,70.7,1577.01,1667.94,2.2609,2.2247
44,34,3255.2,64.38,1660.82,1691.32,2.2438,2.2076
45,503,48157.75,247.62,404.44,1821.65,2.8617,2.8255
50,21,2010.56,50.6,545.62,1729.1,2.0925,2.0564
55,8,765.93,31.23,1697.65,1760.03,1.9943,1.9581
56,61,5840.2,86.23,1538.29,1819.48,2.4401,2.4039
57,835,79943.78,319.04,4594.94,2006.37,3.048,3.0119
59,11,1053.15,36.62,4435.15,1804.84,2.1071,2.0709
62,8,765.93,31.23,4488.75,1851.76,2.2257,2.1895
