feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,8,765.93,31.23,1525.2,412.18,2.4869,2.491
3,7,670.19,29.21,2215.54,462.68,1.9919,1.996
5,28,2680.75,58.42,2542.98,537.81,2.3007,2.3049
9,5,478.71,24.69,2362.04,530.33,1.9918,1.996
19,34,3255.2,64.38,2594.39,854.44,4.8105,4.8147
21,26,2489.27,56.3,1013.47,958.53,7.9139,7.918
23,21,2010.56,50.6,2327.84,987.79,10.1576,10.1617
24,24,2297.79,54.09,2849.4,1012.72,2.2962,2.3004
38,10,957.41,34.91,3238.75,1185.91,2.3935,2.3977
49,298,28530.83,190.6,3572.58,1435.3,4.8049,4.809
50,5,478.71,24.69,2510.76,1450.1,2.068,2.0722
57,27,2585.01,57.37,2658.19,1560.12,2.6862,2.6904
58,6,574.45,27.04,2924.01,1549.25,2.2348,2.239
60,15,1436.12,42.76,3013.7,1580.56,2.3612,2.3654
62,5,478.71,24.69,2784.74,1579.26,1.9459,1.95
69,54,5170.02,81.13,2750.6,1663.59,2.5528,2.5569
78,21,2010.56,50.6,2604.14,1705.34,2.3333,2.3374
86,19,1819.08,48.13,2613.04,1812.24,2.3579,2.3621
87,9,861.67,33.12,1599.26,1808.0,6.3086,6.3127
94,5,478.71,24.69,3684.93,1831.7,2.1363,2.1404
96,6,574.45,27.04,4207.44,1903.13,7.16,7.1641
100,45,4308.35,74.06,1150.25,2107.63,4.9639,4.9681
101,7,670.19,29.21,1200.73,2138.66,5.3529,5.3571
106,9,861.67,33.12,474.02,2497.28,5.1467,5.1508
107,10,957.41,34.91,2540.12,2578.28,2.2591,2.2633
108,5,478.71,24.69,1943.25,2571.43,2.4335,2.4376
113,19,1819.08,48.13,3203.73,2831.91,3.5225,3.5266
115,9,861.67,33.12,3135.46,2854.97,6.0179,6.022
119,36,3446.68,66.25,2490.76,3083.82,9.002,9.0062
130,20,1914.82,49.38,4490.22,3361.06,3.4375,3.4417
131,9,861.67,33.12,1354.64,3393.13,4.3127,4.3169
132,8,765.93,31.23,4690.56,3666.83,2.2597,2.2639
133,79,7563.54,98.13,4607.37,3740.12,2.6119,2.616
136,15,1436.12,42.76,4532.94,3777.56,2.2562,2.2603
137,5,478.71,24.69,864.97,3778.86,1.9473,1.9514
144,10,957.41,34.91,2608.61,3914.87,6.9497,6.9538
145,5,478.71,24.69,2569.47,3925.64,2.6606,2.6648
148,7,670.19,29.21,4554.1,3994.97,2.0019,2.006
149,23,2202.04,52.95,4631.16,4096.83,2.4607,2.4649
152,14,1340.37,41.31,1180.46,4229.8,6.2305,6.2346
156,7,670.19,29.21,1104.28,4656.14,2.1735,2.1777
