20_Min_00001	20_Min_00002
79.62	35.35
132.49	85.34
110.41	22.08
98.75	26.48
98.75	119.43
163.76	40.57
69.83	26.48
54.09	16.56
96.25	77.88
110.41	21.38
149.77	
132.49	
110.41	
143.11	
157.7	
73.24	
103.57	
118.91	
62.46	
154.57	
66.25	
110.41	
198.74	
136.12	
93.69	
91.05	
82.62	
141.39	
69.83	
105.9	
49.38	
82.62	
49.38	
58.42	
175.27	
160.76	
96.25	
126.85	
88.33	
96.25	
101.19	
178.03	
149.77	
173.87	
101.19	
124.91	
73.24	
204.78	
110.41	
