20_Min_00001	20_Min_00002
6.2343	4.7243
9.3265	8.2101
6.2193	4.8216
6.2752	4.6094
6.8142	7.1462
7.868	5.0867
5.1147	4.4558
4.685	4.0636
5.2317	5.4186
5.7933	4.5882
9.1297	
8.4303	
5.1228	
13.1483	
6.4523	
5.1877	
8.6732	
7.6108	
4.6154	
7.6538	
4.9196	
6.1599	
14.7012	
6.948	
4.8993	
6.1556	
5.9047	
6.8441	
4.8715	
4.7652	
4.8139	
5.7255	
4.401	
15.2651	
6.8212	
12.177	
6.4843	
6.4751	
6.7155	
6.0775	
6.8277	
10.4906	
6.2236	
10.8696	
6.3396	
7.6353	
7.9656	
14.7335	
17.7785	
