x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-1.821140e-02	-6.418604e-02	4.597464e-02	-4.597464e-02	4.964723e-01
1.970425e+01	-7.829561e-02	-4.044913e-02	-3.784648e-02	3.784648e-02	4.964723e-01
3.940851e+01	3.129791e-03	-1.671223e-02	1.984202e-02	-1.984202e-02	4.964723e-01
5.911276e+01	-4.618923e-02	7.024679e-03	-5.321391e-02	5.321391e-02	4.964723e-01
7.881701e+01	-2.451600e+00	3.076158e-02	-2.482361e+00	2.482361e+00	4.964723e-01
9.852127e+01	-7.368598e-01	5.449849e-02	-7.913582e-01	7.913582e-01	4.964723e-01
1.182255e+02	2.575221e-01	7.823539e-02	1.792867e-01	-1.792867e-01	4.964723e-01
1.379298e+02	3.454571e-01	1.019723e-01	2.434848e-01	-2.434848e-01	4.964723e-01
1.576340e+02	1.631570e-01	1.257092e-01	3.744778e-02	-3.744778e-02	4.964723e-01
1.773383e+02	3.031812e-02	1.494461e-01	-1.191280e-01	1.191280e-01	4.964723e-01
1.970425e+02	2.841829e-01	1.731830e-01	1.109998e-01	-1.109998e-01	4.964723e-01
