x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-2.694072e-01	-3.460156e-01	7.660839e-02	7.660839e-02	3.335771e+00
1.952282e+01	-4.037691e-01	-3.251685e-01	-7.860058e-02	-7.860058e-02	3.335771e+00
3.904563e+01	-4.452435e-01	-3.043215e-01	-1.409220e-01	-1.409220e-01	3.335771e+00
5.856845e+01	-2.378008e-01	-2.834744e-01	4.567361e-02	4.567361e-02	3.335771e+00
7.809127e+01	3.570217e-01	-2.626273e-01	6.196490e-01	6.196490e-01	3.335771e+00
9.761408e+01	2.283839e+00	-2.417803e-01	2.525619e+00	2.525619e+00	3.335771e+00
1.171369e+02	6.653858e+00	-2.209332e-01	6.874792e+00	6.874792e+00	3.335771e+00
1.366597e+02	1.069478e+01	-2.000862e-01	1.089487e+01	1.089487e+01	3.335771e+00
1.561825e+02	1.372467e+01	-1.792391e-01	1.390391e+01	1.390391e+01	3.335771e+00
1.757054e+02	1.554262e+01	-1.583920e-01	1.570102e+01	1.570102e+01	3.335771e+00
1.952282e+02	1.654131e+01	-1.375450e-01	1.667885e+01	1.667885e+01	3.335771e+00
2.147510e+02	1.587771e+01	-1.166979e-01	1.599440e+01	1.599440e+01	3.335771e+00
2.342738e+02	1.375577e+01	-9.585087e-02	1.385162e+01	1.385162e+01	3.335771e+00
2.537966e+02	9.921245e+00	-7.500382e-02	9.996249e+00	9.996249e+00	3.335771e+00
2.733194e+02	6.337381e+00	-5.415676e-02	6.391538e+00	6.391538e+00	3.335771e+00
2.928422e+02	3.521803e+00	-3.330970e-02	3.555113e+00	3.555113e+00	3.335771e+00
3.123651e+02	1.708552e+00	-1.246264e-02	1.721015e+00	1.721015e+00	3.335771e+00
3.318879e+02	1.037494e+00	8.384419e-03	1.029110e+00	1.029110e+00	3.335771e+00
3.514107e+02	7.753068e-01	2.923147e-02	7.460753e-01	7.460753e-01	3.335771e+00
3.709335e+02	2.711509e-01	5.007853e-02	2.210724e-01	2.210724e-01	3.335771e+00
3.904563e+02	6.836988e-02	7.092559e-02	-2.555709e-03	-2.555709e-03	3.335771e+00
4.099791e+02	8.222146e-02	9.177265e-02	-9.551188e-03	-9.551188e-03	3.335771e+00
4.295020e+02	2.196837e-01	1.126197e-01	1.070639e-01	1.070639e-01	3.335771e+00
4.490248e+02	1.026788e-01	1.334668e-01	-3.078799e-02	-3.078799e-02	3.335771e+00
4.685476e+02	1.870940e-01	1.543138e-01	3.278018e-02	3.278018e-02	3.335771e+00
