x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-1.114568e-01	-1.135572e-02	-1.001011e-01	1.001011e-01	3.410516e-01
1.992487e+01	1.047741e-01	-1.775141e-02	1.225255e-01	-1.225255e-01	3.410516e-01
3.984974e+01	2.909271e-02	-2.414710e-02	5.323980e-02	-5.323980e-02	3.410516e-01
5.977462e+01	-8.185556e-01	-3.054279e-02	-7.880128e-01	7.880128e-01	3.410516e-01
7.969949e+01	-1.742197e+00	-3.693848e-02	-1.705258e+00	1.705258e+00	3.410516e-01
9.962436e+01	-6.495236e-01	-4.333417e-02	-6.061894e-01	6.061894e-01	3.410516e-01
1.195492e+02	4.650095e-02	-4.972986e-02	9.623082e-02	-9.623082e-02	3.410516e-01
1.394741e+02	-1.129952e-01	-5.612555e-02	-5.686966e-02	5.686966e-02	3.410516e-01
1.593990e+02	-2.807597e-02	-6.252124e-02	3.444527e-02	-3.444527e-02	3.410516e-01
