x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-2.376541e-01	-3.685746e-01	1.309205e-01	1.309205e-01	1.286675e+00
2.016255e+01	-5.064891e-01	-3.539873e-01	-1.525018e-01	-1.525018e-01	1.286675e+00
4.032511e+01	-6.052694e-01	-3.394001e-01	-2.658692e-01	-2.658692e-01	1.286675e+00
6.048766e+01	-5.598692e-01	-3.248129e-01	-2.350563e-01	-2.350563e-01	1.286675e+00
8.065021e+01	-8.019468e-01	-3.102257e-01	-4.917212e-01	-4.917212e-01	1.286675e+00
1.008128e+02	1.875645e+00	-2.956384e-01	2.171284e+00	2.171284e+00	1.286675e+00
1.209753e+02	6.152325e+00	-2.810512e-01	6.433376e+00	6.433376e+00	1.286675e+00
1.411379e+02	4.507567e+00	-2.664640e-01	4.774031e+00	4.774031e+00	1.286675e+00
1.613004e+02	4.801672e-01	-2.518767e-01	7.320439e-01	7.320439e-01	1.286675e+00
1.814630e+02	-1.739790e-01	-2.372895e-01	6.331051e-02	6.331051e-02	1.286675e+00
2.016255e+02	-2.644316e-01	-2.227023e-01	-4.172928e-02	-4.172928e-02	1.286675e+00
