x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	3.496574e-02	9.277302e-03	2.568844e-02	-2.568844e-02	2.837946e-01
2.000620e+01	3.865468e-02	5.178409e-02	-1.312942e-02	1.312942e-02	2.837946e-01
4.001239e+01	7.344860e-02	9.429089e-02	-2.084229e-02	2.084229e-02	2.837946e-01
6.001859e+01	-3.029981e-03	1.367977e-01	-1.398277e-01	1.398277e-01	2.837946e-01
8.002479e+01	-1.212875e+00	1.793045e-01	-1.392179e+00	1.392179e+00	2.837946e-01
1.000310e+02	-1.197161e+00	2.218113e-01	-1.418973e+00	1.418973e+00	2.837946e-01
1.200372e+02	1.221925e-01	2.643180e-01	-1.421256e-01	1.421256e-01	2.837946e-01
1.400434e+02	2.970727e-01	3.068248e-01	-9.752156e-03	9.752156e-03	2.837946e-01
1.600496e+02	2.445829e-01	3.493316e-01	-1.047488e-01	1.047488e-01	2.837946e-01
1.800558e+02	2.531188e-01	3.918384e-01	-1.387196e-01	1.387196e-01	2.837946e-01
2.000620e+02	5.605058e-01	4.343452e-01	1.261606e-01	-1.261606e-01	2.837946e-01
