x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	1.279588e-01	1.404202e-01	-1.246150e-02	1.246150e-02	3.156952e-01
1.931038e+01	1.115764e-01	1.087015e-01	2.874894e-03	-2.874894e-03	3.156952e-01
3.862076e+01	-9.382978e-02	7.698269e-02	-1.708125e-01	1.708125e-01	3.156952e-01
5.793115e+01	-1.405122e-01	4.526391e-02	-1.857761e-01	1.857761e-01	3.156952e-01
7.724153e+01	-5.311782e-01	1.354513e-02	-5.447233e-01	5.447233e-01	3.156952e-01
9.655191e+01	-1.596650e+00	-1.817365e-02	-1.578476e+00	1.578476e+00	3.156952e-01
1.158623e+02	-1.294475e+00	-4.989243e-02	-1.244583e+00	1.244583e+00	3.156952e-01
1.351727e+02	-1.729586e-02	-8.161120e-02	6.431534e-02	-6.431534e-02	3.156952e-01
1.544831e+02	-2.417568e-02	-1.133300e-01	8.915432e-02	-8.915432e-02	3.156952e-01
1.737934e+02	-2.246165e-01	-1.450488e-01	-7.956772e-02	7.956772e-02	3.156952e-01
