x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	6.556230e-02	1.608331e-01	-9.527078e-02	9.527078e-02	2.608518e-01
1.938325e+01	2.928318e-01	1.825580e-01	1.102738e-01	-1.102738e-01	2.608518e-01
3.876650e+01	4.711023e-01	2.042829e-01	2.668194e-01	-2.668194e-01	2.608518e-01
5.814975e+01	4.069505e-01	2.260078e-01	1.809427e-01	-1.809427e-01	2.608518e-01
7.753301e+01	-1.056526e+00	2.477327e-01	-1.304259e+00	1.304259e+00	2.608518e-01
9.691626e+01	-3.092359e-01	2.694576e-01	-5.786935e-01	5.786935e-01	2.608518e-01
1.162995e+02	2.455538e-01	2.911825e-01	-4.562870e-02	4.562870e-02	2.608518e-01
1.356828e+02	1.925440e-01	3.129074e-01	-1.203635e-01	1.203635e-01	2.608518e-01
1.550660e+02	3.098789e-01	3.346323e-01	-2.475344e-02	2.475344e-02	2.608518e-01
1.744493e+02	3.661077e-01	3.563572e-01	9.750413e-03	-9.750413e-03	2.608518e-01
