x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	1.020657e-02	-2.265777e-02	3.286434e-02	-3.286434e-02	3.563672e-01
2.205026e+01	-1.317184e-02	-3.362511e-03	-9.809334e-03	9.809334e-03	3.563672e-01
4.410053e+01	-4.101949e-02	1.593275e-02	-5.695224e-02	5.695224e-02	3.563672e-01
6.615079e+01	-1.051585e+00	3.522801e-02	-1.086813e+00	1.086813e+00	3.563672e-01
8.820106e+01	-1.727313e+00	5.452327e-02	-1.781836e+00	1.781836e+00	3.563672e-01
1.102513e+02	2.976360e-03	7.381853e-02	-7.084217e-02	7.084217e-02	3.563672e-01
1.323016e+02	3.834659e-02	9.311380e-02	-5.476721e-02	5.476721e-02	3.563672e-01
1.543518e+02	-8.184031e-02	1.124091e-01	-1.942494e-01	1.942494e-01	3.563672e-01
1.764021e+02	3.028987e-01	1.317043e-01	1.711944e-01	-1.711944e-01	3.563672e-01
