x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	3.641857e-01	3.381548e-01	2.603093e-02	-2.603093e-02	1.955755e-01
2.019174e+01	2.968496e-01	3.245699e-01	-2.772038e-02	2.772038e-02	1.955755e-01
4.038347e+01	4.151692e-01	3.109851e-01	1.041842e-01	-1.041842e-01	1.955755e-01
6.057521e+01	1.138027e-01	2.974002e-01	-1.835975e-01	1.835975e-01	1.955755e-01
8.076694e+01	-6.940622e-01	2.838153e-01	-9.778775e-01	9.778775e-01	1.955755e-01
1.009587e+02	-2.488077e-01	2.702305e-01	-5.190382e-01	5.190382e-01	1.955755e-01
1.211504e+02	3.092961e-01	2.566456e-01	5.265052e-02	-5.265052e-02	1.955755e-01
1.413422e+02	2.288559e-01	2.430607e-01	-1.420483e-02	1.420483e-02	1.955755e-01
1.615339e+02	2.453701e-01	2.294759e-01	1.589427e-02	-1.589427e-02	1.955755e-01
