x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	3.374434e-01	2.909708e-01	4.647263e-02	4.647263e-02	3.641967e-01
1.896266e+01	2.254132e-01	2.648810e-01	-3.946779e-02	-3.946779e-02	3.641967e-01
3.792532e+01	2.053165e-01	2.387913e-01	-3.347476e-02	-3.347476e-02	3.641967e-01
5.688797e+01	1.313909e-01	2.127015e-01	-8.131057e-02	-8.131057e-02	3.641967e-01
7.585063e+01	3.813077e-01	1.866118e-01	1.946959e-01	1.946959e-01	3.641967e-01
9.481329e+01	3.198961e-01	1.605220e-01	1.593741e-01	1.593741e-01	3.641967e-01
1.137760e+02	6.927439e-01	1.344323e-01	5.583116e-01	5.583116e-01	3.641967e-01
1.327386e+02	1.021319e+00	1.083425e-01	9.129768e-01	9.129768e-01	3.641967e-01
1.517013e+02	1.744983e+00	8.225275e-02	1.662730e+00	1.662730e+00	3.641967e-01
1.706639e+02	1.877147e+00	5.616299e-02	1.820984e+00	1.820984e+00	3.641967e-01
1.896266e+02	1.360410e+00	3.007324e-02	1.330337e+00	1.330337e+00	3.641967e-01
2.085892e+02	7.714315e-01	3.983492e-03	7.674480e-01	7.674480e-01	3.641967e-01
2.275519e+02	4.538690e-01	-2.210627e-02	4.759753e-01	4.759753e-01	3.641967e-01
2.465145e+02	7.587500e-02	-4.819602e-02	1.240710e-01	1.240710e-01	3.641967e-01
2.654772e+02	-2.188262e-01	-7.428578e-02	-1.445405e-01	-1.445405e-01	3.641967e-01
2.844399e+02	3.716009e-02	-1.003755e-01	1.375356e-01	1.375356e-01	3.641967e-01
