x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-4.627125e-01	-4.768600e-01	1.414752e-02	-1.414752e-02	3.823116e-01
1.843228e+01	-4.276261e-01	-4.237169e-01	-3.909172e-03	3.909172e-03	3.823116e-01
3.686456e+01	-3.761024e-01	-3.705739e-01	-5.528577e-03	5.528577e-03	3.823116e-01
5.529685e+01	-5.076704e-01	-3.174308e-01	-1.902396e-01	1.902396e-01	3.823116e-01
7.372913e+01	-3.420250e-01	-2.642877e-01	-7.773727e-02	7.773727e-02	3.823116e-01
9.216141e+01	-1.444578e+00	-2.111446e-01	-1.233433e+00	1.233433e+00	3.823116e-01
1.105937e+02	-2.069560e+00	-1.580016e-01	-1.911558e+00	1.911558e+00	3.823116e-01
1.290260e+02	-1.033712e+00	-1.048585e-01	-9.288540e-01	9.288540e-01	3.823116e-01
1.474582e+02	-2.817093e-01	-5.171542e-02	-2.299939e-01	2.299939e-01	3.823116e-01
1.658905e+02	-1.611222e-01	1.427681e-03	-1.625499e-01	1.625499e-01	3.823116e-01
1.843228e+02	-6.196022e-02	5.457075e-02	-1.165310e-01	1.165310e-01	3.823116e-01
2.027551e+02	2.140064e-01	1.077138e-01	1.062926e-01	-1.062926e-01	3.823116e-01
