feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,28,2680.75,58.42,2295.92,395.23,-3.9366,3.9456
2,19,1819.08,48.13,1127.82,440.83,-2.8849,2.8939
3,6,574.45,27.04,2783.76,513.7,-2.4914,2.5004
4,8,765.93,31.23,2492.66,547.95,-2.5493,2.5584
6,5,478.71,24.69,908.02,602.74,-2.9137,2.9227
7,6,574.45,27.04,3379.0,859.43,-2.5102,2.5192
8,9,861.67,33.12,4334.64,909.98,-2.9703,2.9794
9,12,1148.89,38.25,2427.43,960.53,-2.7754,2.7845
11,5,478.71,24.69,2733.86,970.65,-3.1576,3.1667
13,18,1723.34,46.84,2098.83,1144.81,-3.729,3.7381
16,52,4978.53,79.62,452.54,1224.41,-4.1944,4.2035
20,12,1148.89,38.25,1873.78,1364.97,-2.3465,2.3555
22,5,478.71,24.69,2097.85,1387.48,-2.6305,2.6396
24,8,765.93,31.23,1730.68,1449.36,-2.62,2.6291
25,95,9095.4,107.61,3413.43,1553.82,-3.9988,4.0079
31,24,2297.79,54.09,3666.83,1824.85,-3.4172,3.4262
32,12,1148.89,38.25,702.05,1826.48,-2.768,2.7771
35,5,478.71,24.69,1835.62,1837.57,-2.5608,2.5698
36,10,957.41,34.91,2905.09,1916.83,-2.8673,2.8763
38,7,670.19,29.21,2366.51,2001.68,-2.4474,2.4565
39,12,1148.89,38.25,4391.72,2048.27,-2.8307,2.8398
40,5,478.71,24.69,4420.74,2058.71,-2.7225,2.7315
42,14,1340.37,41.31,3160.47,2223.23,-2.6514,2.6604
43,10,957.41,34.91,1269.08,2340.51,-3.7666,3.7757
44,8,765.93,31.23,1306.26,2343.44,-2.8595,2.8686
45,12,1148.89,38.25,4686.07,2555.45,-3.4406,3.4496
46,8,765.93,31.23,3719.42,2580.72,-2.3951,2.4042
48,10,957.41,34.91,1611.55,2758.32,-2.7305,2.7396
53,7,670.19,29.21,1533.41,2970.37,-2.4298,2.4389
54,20,1914.82,49.38,1528.38,3054.79,-2.5274,2.5365
55,5,478.71,24.69,3230.92,3039.14,-2.7898,2.7988
57,16,1531.86,44.16,1564.33,3082.19,-2.3914,2.4005
61,11,1053.15,36.62,1594.02,3177.37,-2.4341,2.4432
62,11,1053.15,36.62,1653.62,3212.95,-2.3758,2.3849
65,92,8808.18,105.9,933.8,3288.63,-4.163,4.1721
67,36,3446.68,66.25,1600.89,3266.2,-2.6368,2.6459
69,19,1819.08,48.13,1416.21,3297.97,-2.3983,2.4073
72,7,670.19,29.21,1368.47,3409.28,-2.4076,2.4167
75,9,861.67,33.12,1429.66,3434.44,-2.2667,2.2757
81,24,2297.79,54.09,3937.95,3501.71,-2.7684,2.7774
83,16,1531.86,44.16,1590.02,3532.29,-3.2835,3.2926
84,83,7946.51,100.59,1419.14,3565.06,-4.0718,4.0809
85,16,1531.86,44.16,4480.19,3615.46,-3.1083,3.1173
86,15,1436.12,42.76,3463.8,3857.8,-3.6955,3.7045
87,5,478.71,24.69,1082.19,3915.85,-3.0442,3.0533
90,27,2585.01,57.37,2715.45,4117.92,-2.8391,2.8481
91,5,478.71,24.69,2776.91,4121.33,-2.7226,2.7317
93,10,957.41,34.91,1409.98,4186.89,-2.8046,2.8137
