profile	feature_type	width_nm	height_nm
1	hole	58.082	1.362
2	hole	125.611	1.112
3	hole	46.73	1.237
4	hole	78.954	0.858
5	hole	102.265	1.423
6	hole	43.295	1.011
7	hole	89.642	1.045
8	protrusion	69.125	0.56
9	protrusion	119.268	0.812
10	protrusion	120.605	0.592
11	protrusion	79.83	0.622
12	protrusion	129.301	0.459
13	protrusion	79.813	0.449
