feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,6,574.45,27.04,3155.58,313.11,3.8869,3.8944
10,22,2106.3,51.79,3188.49,550.61,8.6691,8.6767
22,9,861.67,33.12,1669.93,1018.7,8.8133,8.8208
32,7,670.19,29.21,1358.68,1541.79,2.1766,2.1842
33,243,23265.08,172.11,1535.4,1605.66,3.8387,3.8463
36,6,574.45,27.04,1413.89,1629.16,2.3379,2.3455
38,11,1053.15,36.62,997.15,1689.2,9.2223,9.2299
41,19,1819.08,48.13,4515.4,1732.93,4.2164,4.224
49,5,478.71,24.69,2000.0,2395.3,2.3749,2.3824
52,8,765.93,31.23,4271.04,2490.22,6.9091,6.9167
58,313,29966.95,195.33,4623.46,2758.01,5.4252,5.4328
64,227,21733.22,166.35,356.56,2875.81,5.4036,5.4112
72,89,8520.95,104.16,3011.94,3052.4,3.1627,3.1703
73,11,1053.15,36.62,3061.73,2999.47,2.5433,2.5509
74,8,765.93,31.23,3180.04,3060.18,3.5945,3.6021
77,22,2106.3,51.79,3127.11,3148.46,10.9212,10.9287
78,13,1244.63,39.81,2004.37,3199.61,9.4674,9.475
80,14,1340.37,41.31,4202.54,3672.07,3.6172,3.6247
81,6,574.45,27.04,2627.2,3688.85,6.8255,6.8331
82,5,478.71,24.69,3655.58,3700.59,3.6316,3.6392
85,368,35232.71,211.8,3756.14,3869.78,5.0328,5.0404
89,5,478.71,24.69,3622.31,3851.27,2.4211,2.4287
91,7,670.19,29.21,3593.79,3912.5,2.5418,2.5494
92,10,957.41,34.91,3690.8,3964.77,2.4505,2.4581
96,7,670.19,29.21,2072.97,4239.59,2.3849,2.3925
97,5,478.71,24.69,2109.59,4262.23,2.2053,2.2129
106,7,670.19,29.21,1267.82,4401.73,3.2426,3.2502
108,135,12925.04,128.28,4169.09,4660.94,4.8266,4.8342
111,7,670.19,29.21,4091.42,4623.99,2.2927,2.3003
116,7,670.19,29.21,2068.77,4684.09,8.2024,8.21
117,9,861.67,33.12,4421.61,4687.98,2.8123,2.8199
