feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
3,183,17520.61,149.36,3959.24,539.98,-2.4882,2.4772
6,92,8808.18,105.9,966.77,502.42,-2.2999,2.2889
8,8,765.93,31.23,859.83,546.72,-1.7194,1.7084
12,25,2393.53,55.2,1770.65,836.79,-2.0989,2.0879
13,15,1436.12,42.76,1842.14,831.05,-1.9344,1.9234
18,8,765.93,31.23,3194.72,841.49,-1.7567,1.7457
21,8,765.93,31.23,4511.99,883.07,-1.5917,1.5807
22,5,478.71,24.69,4467.71,911.94,-1.7845,1.7735
24,49,4691.31,77.29,2378.69,1011.02,-2.3537,2.3427
29,32,3063.71,62.46,977.25,1169.58,-1.8562,1.8451
32,51,4882.79,78.85,2381.53,1265.11,-2.5846,2.5735
33,24,2297.79,54.09,2439.66,1288.73,-2.2448,2.2338
36,5,478.71,24.69,1772.99,1454.01,-1.4844,1.4734
42,11,1053.15,36.62,420.74,1622.49,-1.8222,1.8112
43,7,670.19,29.21,461.28,1646.63,-1.79,1.779
44,41,3925.38,70.7,1240.75,1740.97,-2.4175,2.4064
46,41,3925.38,70.7,1310.2,1810.89,-2.1624,2.1514
50,5,478.71,24.69,4510.76,1847.36,-1.6363,1.6253
51,9,861.67,33.12,3270.28,1860.19,-1.5851,1.5741
52,93,8903.92,106.47,4184.61,1911.6,-2.4385,2.4275
54,19,1819.08,48.13,681.84,1909.05,-1.7416,1.7306
57,5,478.71,24.69,630.14,1915.85,-1.6954,1.6843
62,88,8425.21,103.57,3014.81,2061.69,-2.3176,2.3065
67,40,3829.64,69.83,1921.72,2178.08,-2.0562,2.0452
73,13,1244.63,39.81,1423.3,2346.08,-1.7633,1.7523
81,32,3063.71,62.46,3969.24,2496.02,-1.9995,1.9885
84,17,1627.6,45.52,3892.6,2517.55,-1.9194,1.9083
85,10,957.41,34.91,3505.87,2505.87,-1.6618,1.6508
86,5,478.71,24.69,3604.7,2536.2,-1.605,1.594
88,13,1244.63,39.81,2927.89,2621.56,-1.9093,1.8983
89,31,2967.97,61.47,477.56,2642.83,-2.1164,2.1053
92,23,2202.04,52.95,339.06,2816.73,-2.072,2.0609
97,30,2872.23,60.47,4338.88,2971.3,-2.4762,2.4652
98,5,478.71,24.69,4387.48,2947.16,-1.5253,1.5143
100,32,3063.71,62.46,2494.5,3009.72,-1.9241,1.913
102,7,670.19,29.21,2601.34,3017.89,-1.6623,1.6512
103,7,670.19,29.21,2639.08,3022.09,-1.8157,1.8047
105,29,2776.49,59.46,3168.57,3200.28,-2.2979,2.2868
106,49,4691.31,77.29,2060.98,3212.99,-2.0054,1.9944
107,12,1148.89,38.25,3083.82,3224.89,-1.7707,1.7597
110,160,15318.57,139.66,587.63,3358.67,-2.9428,2.9318
113,11,1053.15,36.62,3285.0,3420.21,-1.7036,1.6926
117,50,4787.05,78.07,4242.66,3509.78,-2.5249,2.5138
118,79,7563.54,98.13,3802.05,3526.34,-2.4016,2.3905
119,7,670.19,29.21,2896.28,3516.91,-1.5122,1.5011
120,105,10052.81,113.14,1554.84,3617.74,-2.6023,2.5912
124,5,478.71,24.69,3825.83,3600.78,-1.4548,1.4438
127,9,861.67,33.12,314.2,3658.4,-1.6654,1.6544
128,49,4691.31,77.29,2406.05,3728.18,-1.9493,1.9382
129,22,2106.3,51.79,2494.66,3733.77,-1.8548,1.8437
132,13,1244.63,39.81,4607.86,3795.72,-1.919,1.908
133,14,1340.37,41.31,310.32,3825.13,-2.0375,2.0265
136,68,6510.39,91.05,2771.09,4058.22,-2.4422,2.4311
140,42,4021.12,71.55,396.05,4266.61,-2.7639,2.7529
142,11,1053.15,36.62,1977.41,4243.02,-1.7107,1.6997
144,19,1819.08,48.13,459.37,4281.59,-2.0201,2.0091
145,13,1244.63,39.81,1907.27,4284.21,-2.6387,2.6277
147,11,1053.15,36.62,978.47,4297.28,-1.938,1.927
148,22,2106.3,51.79,1064.76,4339.09,-2.2641,2.2531
149,16,1531.86,44.16,3048.56,4352.37,-1.8544,1.8433
156,11,1053.15,36.62,4106.92,4392.46,-1.7231,1.712
159,126,12063.37,123.93,2133.62,4481.56,-2.1577,2.1466
160,10,957.41,34.91,1012.72,4434.44,-1.5648,1.5538
162,5,478.71,24.69,1056.75,4452.05,-1.498,1.4869
164,6,574.45,27.04,4001.96,4496.09,-1.4681,1.4571
