feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,223,21350.26,164.88,372.17,403.76,2.6469,2.6579
8,6,574.45,27.04,626.22,406.07,1.603,1.614
13,13,1244.63,39.81,994.28,524.61,2.4654,2.4765
14,8,765.93,31.23,431.75,554.06,1.6457,1.6567
15,183,17520.61,149.36,3960.36,641.14,5.1872,5.1982
16,5,478.71,24.69,520.55,592.95,2.0343,2.0454
19,16,1531.86,44.16,3624.63,653.13,1.6254,1.6365
23,7,670.19,29.21,2599.94,725.47,1.5685,1.5795
25,6,574.45,27.04,2636.99,758.32,1.6743,1.6853
26,8,765.93,31.23,1801.61,820.69,1.8881,1.8992
28,69,6606.13,91.71,3142.32,891.4,4.8561,4.8671
31,5,478.71,24.69,1649.71,990.22,1.8008,1.8118
32,71,6797.61,93.03,1724.32,1096.58,1.8969,1.908
33,5,478.71,24.69,1763.21,1033.27,1.5953,1.6064
35,5,478.71,24.69,1806.26,1058.71,1.6157,1.6267
41,13,1244.63,39.81,1815.44,1142.56,1.7958,1.8069
43,13,1244.63,39.81,1022.88,1160.62,2.8668,2.8778
52,6,574.45,27.04,4011.74,1345.4,1.4908,1.5018
63,14,1340.37,41.31,1291.59,1741.68,2.1806,2.1916
72,13,1244.63,39.81,4155.5,1939.64,1.9338,1.9449
75,29,2776.49,59.46,3050.14,2083.14,3.199,3.21
88,17,1627.6,45.52,1472.31,2349.49,2.7415,2.7525
92,9,861.67,33.12,4442.27,2534.25,1.5764,1.5875
100,6,574.45,27.04,4041.1,2844.1,1.658,1.6691
101,20,1914.82,49.38,2949.61,2898.24,1.7945,1.8056
109,23,2202.04,52.95,1178.85,2985.2,1.688,1.699
111,5,478.71,24.69,4001.96,3023.48,1.6,1.6111
112,17,1627.6,45.52,2542.3,3042.48,2.4326,2.4437
117,7,670.19,29.21,3110.15,3196.81,2.6924,2.7034
119,23,2202.04,52.95,2060.75,3254.06,3.1996,3.2107
126,5,478.71,24.69,1031.31,3608.61,1.4875,1.4985
128,7,670.19,29.21,3414.87,3627.34,1.7021,1.7131
132,11,1053.15,36.62,2036.11,3710.19,1.5748,1.5859
136,10,957.41,34.91,2447.16,3749.51,1.9123,1.9233
137,5,478.71,24.69,3183.95,3745.6,1.561,1.5721
143,62,5935.95,86.94,4631.81,3881.86,4.0335,4.0445
146,17,1627.6,45.52,4574.08,3916.2,2.6575,2.6685
147,5,478.71,24.69,837.57,3984.34,1.5699,1.5809
151,12,1148.89,38.25,666.99,4187.05,1.6499,1.6609
156,6,574.45,27.04,616.44,4267.78,1.6057,1.6168
159,31,2967.97,61.47,1002.78,4350.74,2.9622,2.9733
162,59,5648.72,84.81,4080.23,4460.02,3.4003,3.4113
163,7,670.19,29.21,4021.53,4500.98,1.9885,1.9995
165,25,2393.53,55.2,2167.51,4527.98,3.5663,3.5774
167,37,3542.42,67.16,1566.62,4572.91,2.0939,2.105
175,39,3733.9,68.95,3581.21,4652.01,1.9686,1.9796
181,9,861.67,33.12,3421.4,4646.66,1.5453,1.5564
182,7,670.19,29.21,3764.33,4671.51,1.5209,1.5319
183,5,478.71,24.69,594.91,4671.23,1.6425,1.6536
188,8,765.93,31.23,3638.7,4685.67,1.6266,1.6376
