feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,7,670.19,29.21,3228.96,317.31,2.2591,2.2977
2,6,574.45,27.04,3850.29,596.87,2.2494,2.288
5,238,22786.37,170.33,3850.5,741.91,2.6643,2.7028
6,12,1148.89,38.25,3661.94,675.96,2.4225,2.4611
7,6,574.45,27.04,3703.52,680.04,2.3325,2.3711
9,8,765.93,31.23,3529.84,728.96,2.2707,2.3092
10,8,765.93,31.23,3971.38,742.42,2.2533,2.2919
13,7,670.19,29.21,3490.36,767.4,2.3241,2.3626
16,5,478.71,24.69,3581.21,798.43,2.2225,2.261
18,7,670.19,29.21,3479.17,819.12,2.3233,2.3618
20,52,4978.53,79.62,3956.42,864.63,2.7073,2.7458
22,8,765.93,31.23,3811.15,939.33,2.4361,2.4746
23,23,2202.04,52.95,3916.45,958.48,2.5205,2.559
34,1827,174918.91,471.93,4493.24,1921.93,4.255,4.2935
39,8,765.93,31.23,4261.25,1893.35,2.4872,2.5257
41,8,765.93,31.23,4286.94,1952.05,2.3639,2.4024
55,5,478.71,24.69,1465.75,4596.87,2.2393,2.2778
