filename,base_sample_name,scan_x_um,scan_y_um,scan_area_um2,pixel_nm,sharpness_score,line_correlation,Ra_nm,Rq_nm,Rz_nm,Rpv_nm,Rsk,Rku,z_min_nm,z_max_nm,z_mean_nm,z_p01_nm,z_p50_nm,z_p99_nm,hole_thresh_nm,prot_thresh_nm,pct_surface_holes,pct_surface_prots,pct_surface_total,n_holes,holes_per_um2,avg_hole_depth_nm,std_hole_depth_nm,avg_hole_diameter_nm,std_hole_diameter_nm,n_protrusions,prots_per_um2,avg_prot_height_nm,std_prot_height_nm,avg_prot_diameter_nm,std_prot_diameter_nm,fixdep_0p5_pct,fixdep_0p8_pct,fixdep_1p0_pct,fixdep_1p2_pct,fixdep_1p5_pct,fixdep_2_pct,fixdep_5_pct,fixdep_median_ref_nm
12_Hour_Tg,12_Hour_Tg,5.0098,5.0098,125.4895,9.7847,0.59498,0.93712,0.44514,0.670028,15.3200974,2.8916756,2.8406000000000002,46.21526,-3.3218316000000003,11.998265799999999,0.0,-1.50142,-0.0028799999999999997,1.39024,-1.66066,1.6366,0.5297200000000001,0.4360799999999999,0.9658200000000001,217,1.7292,2.306,0.577,54.386,30.7,143,1.1395,2.775,2.238,52.019,46.546,17.015110999999997,7.0891852,3.8804938,2.1433083999999996,0.9599998,0.3083458,0.0,-0.012667000000000001
12_Hour_intitial,12_Hour_intitial,10.0196,10.0196,100.3918,19.5695,0.1795,0.9695,1.478767,2.003345,22.539044,10.405615,-1.105,6.2389,-15.736152,6.802892,0.0,-6.5667,0.2067,3.8389,-4.88,4.8507,1.9348,0.0946,2.0294,175,1.7432,8.359,2.078,101.824,61.353,13,0.1295,5.787,0.516,90.266,33.972,38.071615,31.703125,27.844184,24.34158,19.722222,13.612413,2.332031,0.173062
No_Anneal,No_Anneal,5.0098,5.0098,250.979,9.7847,0.23298999999999997,0.9794499999999999,0.6116291,0.7816583,8.8125369,3.7559689,-0.027190000000000002,3.93791,-4.788528900000001,4.0240081,0.0,-1.8624300000000003,-0.0038400000000000005,1.8935399999999998,-1.9409000000000003,1.9170299999999998,0.5991,0.6148100000000001,1.2139,519,2.0679,2.858,0.652,51.179,32.703,178,0.7092,2.237,0.392,63.053,84.035,25.1216296,13.975555499999999,8.818963000000002,5.3330367999999995,2.4070617,0.7137776,0.001284,-0.0127974
