feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
2,16,1531.86,44.16,3246.7,349.19,3.001,3.0295
3,14,1340.37,41.31,1994.69,370.42,1.8393,1.8678
6,7,670.19,29.21,849.87,415.15,1.9045,1.933
9,9,861.67,33.12,734.94,497.93,1.6548,1.6833
11,7,670.19,29.21,796.76,550.74,1.787,1.8155
23,6,574.45,27.04,913.24,768.1,1.6789,1.7074
25,7,670.19,29.21,989.66,838.69,1.7885,1.817
26,5,478.71,24.69,935.42,839.53,1.7143,1.7428
28,10,957.41,34.91,3132.09,865.95,1.8653,1.8938
30,5,478.71,24.69,1048.92,876.71,1.5997,1.6282
31,9,861.67,33.12,4509.68,889.32,1.743,1.7715
32,8,765.93,31.23,4636.74,872.06,1.8668,1.8953
40,7,670.19,29.21,1037.18,1034.39,3.436,3.4645
57,18,1723.34,46.84,3628.51,2156.99,2.565,2.5935
58,7,670.19,29.21,2482.53,2155.44,2.413,2.4415
64,9,861.67,33.12,869.75,2457.06,1.7402,1.7687
66,5,478.71,24.69,980.43,2495.11,1.7489,1.7774
72,5,478.71,24.69,2751.47,2684.93,1.6991,1.7276
82,5,478.71,24.69,377.69,2962.82,1.851,1.8795
92,9,861.67,33.12,4389.0,3537.73,1.8483,1.8768
93,25,2393.53,55.2,4473.19,3573.78,2.0189,2.0474
107,7,670.19,29.21,1846.52,3811.85,1.9604,1.9889
108,42,4021.12,71.55,712.65,3855.65,2.1521,2.1806
109,5,478.71,24.69,753.42,3825.83,1.7774,1.8059
113,8,765.93,31.23,1039.63,3911.45,1.6835,1.712
114,6,574.45,27.04,4339.53,3909.0,1.8201,1.8486
117,33,3159.45,63.43,4330.49,3952.74,2.2434,2.2719
121,5,478.71,24.69,4262.23,4013.7,1.8519,1.8804
130,13,1244.63,39.81,314.62,4240.55,2.0446,2.0731
132,7,670.19,29.21,422.14,4294.1,1.7044,1.7329
134,8,765.93,31.23,470.89,4302.84,1.6621,1.6906
143,65,6223.17,89.01,991.57,4646.09,7.635,7.6635
