feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
8,5,478.71,24.69,3289.63,661.45,8.5037,8.5371
9,6,574.45,27.04,923.03,670.25,9.2824,9.3159
11,5,478.71,24.69,3915.85,690.8,2.2474,2.2809
13,7,670.19,29.21,4087.22,786.97,2.4495,2.483
17,6,574.45,27.04,4124.27,821.92,2.2446,2.2781
27,31,2967.97,61.47,1056.12,954.8,2.8451,2.8786
31,13,1244.63,39.81,4417.43,989.01,3.2117,3.2452
32,14,1340.37,41.31,4447.16,1043.47,8.4048,8.4382
37,10,957.41,34.91,1486.3,1334.64,2.7641,2.7976
46,5,478.71,24.69,2804.31,1407.05,7.732,7.7655
49,16,1531.86,44.16,4372.55,1530.7,2.3104,2.3438
61,8,765.93,31.23,1493.4,2155.09,3.2697,3.3032
66,5,478.71,24.69,4377.69,2170.25,2.238,2.2715
67,5,478.71,24.69,4305.28,2201.57,2.4323,2.4658
76,11,1053.15,36.62,1012.28,2342.11,2.5573,2.5908
80,5,478.71,24.69,923.68,2405.09,2.2271,2.2606
82,5,478.71,24.69,3497.06,2457.93,6.7619,6.7953
91,14,1340.37,41.31,2269.36,2843.16,3.4193,3.4528
94,7,670.19,29.21,3726.59,3321.22,2.5572,2.5907
97,7,670.19,29.21,1443.95,3480.57,6.3838,6.4172
104,5,478.71,24.69,3448.14,4258.32,2.443,2.4764
108,23,2202.04,52.95,3479.54,4321.02,2.4723,2.5058
114,8,765.93,31.23,2928.08,4395.79,2.154,2.1875
115,10,957.41,34.91,861.06,4417.81,2.4183,2.4518
