x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	6.495895e-01	6.563321e-01	-6.742572e-03	6.742572e-03	2.224361e-01
1.906894e+01	6.226157e-01	6.188433e-01	3.772479e-03	-3.772479e-03	2.224361e-01
3.813787e+01	1.628794e-01	5.813544e-01	-4.184751e-01	4.184751e-01	2.224361e-01
5.720681e+01	-5.683151e-01	5.438656e-01	-1.112181e+00	1.112181e+00	2.224361e-01
7.627575e+01	-5.326436e-01	5.063767e-01	-1.039020e+00	1.039020e+00	2.224361e-01
9.534469e+01	1.703170e-01	4.688879e-01	-2.985708e-01	2.985708e-01	2.224361e-01
1.144136e+02	2.071210e-01	4.313990e-01	-2.242780e-01	2.242780e-01	2.224361e-01
1.334826e+02	2.593741e-01	3.939102e-01	-1.345361e-01	1.345361e-01	2.224361e-01
1.525515e+02	9.812052e-02	3.564213e-01	-2.583008e-01	2.583008e-01	2.224361e-01
1.716204e+02	3.524059e-01	3.189325e-01	3.347341e-02	-3.347341e-02	2.224361e-01
1.906894e+02	2.509403e-01	2.814436e-01	-3.050331e-02	3.050331e-02	2.224361e-01
