x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	5.336045e-01	5.530265e-01	-1.942196e-02	-1.942196e-02	9.177745e-02
1.970417e+01	5.780073e-01	5.704494e-01	7.557969e-03	7.557969e-03	9.177745e-02
3.940834e+01	7.508416e-01	5.878722e-01	1.629693e-01	1.629693e-01	9.177745e-02
5.911250e+01	8.997944e-01	6.052951e-01	2.944993e-01	2.944993e-01	9.177745e-02
7.881667e+01	9.578704e-01	6.227180e-01	3.351524e-01	3.351524e-01	9.177745e-02
9.852084e+01	1.025985e+00	6.401409e-01	3.858443e-01	3.858443e-01	9.177745e-02
1.182250e+02	1.116451e+00	6.575637e-01	4.588873e-01	4.588873e-01	9.177745e-02
1.379292e+02	1.045001e+00	6.749866e-01	3.700143e-01	3.700143e-01	9.177745e-02
1.576333e+02	8.067433e-01	6.924095e-01	1.143339e-01	1.143339e-01	9.177745e-02
1.773375e+02	6.073625e-01	7.098324e-01	-1.024699e-01	-1.024699e-01	9.177745e-02
