x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-8.264574e-02	-4.912332e-03	-7.773341e-02	7.773341e-02	2.845808e-01
2.058382e+01	1.050967e-01	1.202937e-02	9.306729e-02	-9.306729e-02	2.845808e-01
4.116764e+01	3.513536e-01	2.897107e-02	3.223825e-01	-3.223825e-01	2.845808e-01
6.175146e+01	2.584059e-01	4.591277e-02	2.124932e-01	-2.124932e-01	2.845808e-01
8.233527e+01	1.897718e-01	6.285447e-02	1.269173e-01	-1.269173e-01	2.845808e-01
1.029191e+02	1.532781e-01	7.979617e-02	7.348189e-02	-7.348189e-02	2.845808e-01
1.235029e+02	2.044295e-01	9.673787e-02	1.076917e-01	-1.076917e-01	2.845808e-01
1.440867e+02	-1.309225e+00	1.136796e-01	-1.422904e+00	1.422904e+00	2.845808e-01
1.646705e+02	-6.699138e-01	1.306213e-01	-8.005351e-01	8.005351e-01	2.845808e-01
1.852544e+02	-3.003796e-01	1.475630e-01	-4.479426e-01	4.479426e-01	2.845808e-01
2.058382e+02	-4.194242e-02	1.645047e-01	-2.064471e-01	2.064471e-01	2.845808e-01
2.264220e+02	-1.541589e-01	1.814464e-01	-3.356052e-01	3.356052e-01	2.845808e-01
2.470058e+02	9.006779e-02	1.983881e-01	-1.083203e-01	1.083203e-01	2.845808e-01
2.675896e+02	9.372268e-02	2.153298e-01	-1.216071e-01	1.216071e-01	2.845808e-01
2.881735e+02	3.385447e-01	2.322715e-01	1.062732e-01	-1.062732e-01	2.845808e-01
