x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	1.466888e-01	1.775252e-01	-3.083639e-02	3.083639e-02	1.716214e-01
1.834661e+01	2.153056e-01	1.745730e-01	4.073267e-02	-4.073267e-02	1.716214e-01
3.669323e+01	4.693160e-01	1.716207e-01	2.976953e-01	-2.976953e-01	1.716214e-01
5.503984e+01	3.883440e-01	1.686684e-01	2.196756e-01	-2.196756e-01	1.716214e-01
7.338645e+01	-5.666327e-01	1.657162e-01	-7.323488e-01	7.323488e-01	1.716214e-01
9.173307e+01	-6.953433e-01	1.627639e-01	-8.581072e-01	8.581072e-01	1.716214e-01
1.100797e+02	6.667696e-02	1.598116e-01	-9.313466e-02	9.313466e-02	1.716214e-01
1.284263e+02	-3.697384e-01	1.568594e-01	-5.265978e-01	5.265978e-01	1.716214e-01
1.467729e+02	1.241538e-01	1.539071e-01	-2.975328e-02	2.975328e-02	1.716214e-01
1.651195e+02	9.272466e-02	1.509548e-01	-5.823016e-02	5.823016e-02	1.716214e-01
1.834661e+02	1.963364e-01	1.480025e-01	4.833388e-02	-4.833388e-02	1.716214e-01
