x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-3.997761e-01	-3.988683e-01	-9.077844e-04	9.077844e-04	2.723478e-01
1.762579e+01	-3.456376e-01	-3.484587e-01	2.821153e-03	-2.821153e-03	2.723478e-01
3.525158e+01	-2.871395e-01	-2.980492e-01	1.090965e-02	-1.090965e-02	2.723478e-01
5.287738e+01	-1.619926e-01	-2.476396e-01	8.564704e-02	-8.564704e-02	2.723478e-01
7.050317e+01	-1.121499e-02	-1.972301e-01	1.860151e-01	-1.860151e-01	2.723478e-01
8.812896e+01	-2.074904e-01	-1.468205e-01	-6.066993e-02	6.066993e-02	2.723478e-01
1.057548e+02	-1.458150e+00	-9.641095e-02	-1.361739e+00	1.361739e+00	2.723478e-01
1.233805e+02	-1.117138e+00	-4.600140e-02	-1.071137e+00	1.071137e+00	2.723478e-01
1.410063e+02	-3.893232e-01	4.408142e-03	-3.937314e-01	3.937314e-01	2.723478e-01
1.586321e+02	-7.386122e-02	5.481769e-02	-1.286789e-01	1.286789e-01	2.723478e-01
1.762579e+02	8.700135e-02	1.052273e-01	-1.822591e-02	1.822591e-02	2.723478e-01
1.938837e+02	1.719493e-01	1.556368e-01	1.631254e-02	-1.631254e-02	2.723478e-01
