x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	4.638814e-01	4.808684e-01	-1.698698e-02	-1.698698e-02	1.184414e-01
1.893965e+01	5.245978e-01	5.003842e-01	2.421357e-02	2.421357e-02	1.184414e-01
3.787931e+01	6.587116e-01	5.199001e-01	1.388115e-01	1.388115e-01	1.184414e-01
5.681896e+01	7.709007e-01	5.394159e-01	2.314848e-01	2.314848e-01	1.184414e-01
7.575862e+01	9.235207e-01	5.589318e-01	3.645889e-01	3.645889e-01	1.184414e-01
9.469827e+01	1.102229e+00	5.784477e-01	5.237812e-01	5.237812e-01	1.184414e-01
1.136379e+02	1.094571e+00	5.979635e-01	4.966071e-01	4.966071e-01	1.184414e-01
1.325776e+02	1.209686e+00	6.174794e-01	5.922069e-01	5.922069e-01	1.184414e-01
1.515172e+02	7.945195e-01	6.369952e-01	1.575243e-01	1.575243e-01	1.184414e-01
1.704569e+02	6.084588e-01	6.565111e-01	-4.805231e-02	-4.805231e-02	1.184414e-01
1.893965e+02	7.168527e-01	6.760270e-01	4.082572e-02	4.082572e-02	1.184414e-01
