x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	1.751808e-01	1.576172e-01	1.756360e-02	1.756360e-02	1.243858e-01
1.705342e+01	1.790900e-01	2.405550e-01	-6.146493e-02	-6.146493e-02	1.243858e-01
3.410685e+01	5.769882e-01	3.234927e-01	2.534955e-01	2.534955e-01	1.243858e-01
5.116027e+01	9.117227e-01	4.064305e-01	5.052921e-01	5.052921e-01	1.243858e-01
6.821370e+01	1.109029e+00	4.893683e-01	6.196605e-01	6.196605e-01	1.243858e-01
8.526712e+01	1.194235e+00	5.723061e-01	6.219289e-01	6.219289e-01	1.243858e-01
1.023205e+02	9.010881e-01	6.552438e-01	2.458443e-01	2.458443e-01	1.243858e-01
1.193740e+02	5.362387e-01	7.381816e-01	-2.019430e-01	-2.019430e-01	1.243858e-01
