x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-2.040281e-02	-7.831812e-02	5.791530e-02	-5.791530e-02	2.474947e-01
2.007628e+01	-1.252518e-01	-6.101582e-02	-6.423599e-02	6.423599e-02	2.474947e-01
4.015256e+01	1.607444e-01	-4.371352e-02	2.044579e-01	-2.044579e-01	2.474947e-01
6.022883e+01	2.777450e-01	-2.641122e-02	3.041562e-01	-3.041562e-01	2.474947e-01
8.030511e+01	2.090229e-01	-9.108921e-03	2.181318e-01	-2.181318e-01	2.474947e-01
1.003814e+02	2.184203e-01	8.193379e-03	2.102269e-01	-2.102269e-01	2.474947e-01
1.204577e+02	-1.211978e+00	2.549568e-02	-1.237474e+00	1.237474e+00	2.474947e-01
1.405340e+02	-8.210984e-01	4.279798e-02	-8.638964e-01	8.638964e-01	2.474947e-01
1.606102e+02	1.536363e-01	6.010027e-02	9.353602e-02	-9.353602e-02	2.474947e-01
1.806865e+02	1.616884e-01	7.740257e-02	8.428581e-02	-8.428581e-02	2.474947e-01
2.007628e+02	9.999644e-02	9.470488e-02	5.291563e-03	-5.291563e-03	2.474947e-01
2.208391e+02	1.130363e-01	1.120072e-01	1.029124e-03	-1.029124e-03	2.474947e-01
