feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,233,22307.67,168.53,3713.62,361.2,2.6782,2.6937
2,118,11297.44,119.93,3891.42,400.43,2.1864,2.2019
5,50,4787.05,78.07,3571.43,429.75,2.3018,2.3173
6,9,861.67,33.12,3643.18,441.4,1.8259,1.8414
15,90,8616.69,104.74,1249.62,1221.79,2.3042,2.3197
21,8,765.93,31.23,1327.05,1235.32,1.8904,1.9059
22,9,861.67,33.12,1375.3,1258.97,2.0371,2.0525
24,26,2489.27,56.3,1421.42,1311.15,1.9407,1.9562
25,5,478.71,24.69,1348.34,1305.28,1.8125,1.8279
29,36,3446.68,66.25,1530.22,1381.55,2.1296,2.1451
36,36,3446.68,66.25,1529.95,1497.88,2.2508,2.2663
41,19,1819.08,48.13,442.89,2916.37,2.0698,2.0853
43,8,765.93,31.23,3077.3,4168.3,1.8455,1.861
46,8,765.93,31.23,3073.63,4317.51,1.8457,1.8612
48,18,1723.34,46.84,4656.99,4469.99,1.9621,1.9776
51,8,765.93,31.23,4591.49,4518.1,2.024,2.0395
