20_Min_00001	20_Min_00002	20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
6.9402			2.6231	2.3718	2.4147	2.7006	3.9313	3.2785	5.6699	4.4382	2.5796	2.7047	3.0526	2.9133	2.6237	2.9961	2.2812	2.4389	3.2253	2.5019	2.7195
6.2584			2.854	2.1287	2.4329	2.6749	2.4466	2.6292	4.6408	4.2932	3.9028	3.1949	3.1919	2.6344	3.0883	3.1118	2.9321	2.5365	3.0584	3.3115	2.545
5.8058			2.0809	2.4561	2.4208	2.915	2.827	2.5518	3.9269	5.4613	2.7483	5.8074	2.4406	2.2598	2.2805	2.4573	2.0104	2.7988	2.3053	3.4396	4.4415
6.9151			4.5931	2.5786	2.8833	3.2249	2.5334	4.7472	4.1941	4.8528	2.7125	2.5466	2.1552	3.0772	3.8644	3.4989	2.4991	2.4005	4.9016	3.0986	3.5252
6.2066			2.5776	2.9649	2.9446	5.0755	4.2194	4.1929	5.0008	4.8488	3.9901	2.557	2.7867	2.2197	2.6036	3.2441	4.2183	2.4432	2.9237	2.5463	2.5096
6.4309			2.2725	2.939	2.1945	2.4093	3.8798	2.4802	3.8524	2.51	2.3977	3.0688	3.6938	3.0601	2.2174	3.7235	1.9101	2.3849	2.567	3.3835	2.9692
8.3675			2.7228	2.306	4.356	3.3987	4.6515	4.259	4.0271	2.8212	2.4698	2.6781	2.0634	2.2739	2.3747	2.0114	3.2792	4.1721	3.3317	3.5216	2.7963
8.5301			3.5852	2.9722	2.0787	3.7283	2.2936	3.5511	3.7196	2.5572	2.3712		2.7599	2.7549	4.0599	3.4033	2.7266	2.6459	2.5842	3.751	2.7975
9.4917			3.4721	3.861	2.6623	2.6787	2.4739	2.4508	2.5821	4.6925	4.9402		2.0205	2.9324	2.2803	2.0854	3.7267	2.4073	2.5467	2.1006	3.1817
5.4024			3.2177	3.1316	2.8633	3.102	2.8795	2.7536	3.0827	2.3722	2.563		2.0747	2.3905	2.0082	2.0641	3.817	2.4167	2.5865	2.3046	2.5261
7.2458			2.5043	4.6759	2.496	3.1746	3.0764	2.7902	2.7397	3.7005	3.4765		4.6735	2.7151	2.1091	2.3484	3.2246	2.2757	2.2483	2.6536	2.1099
7.6761			3.7577	2.3134	3.9925	2.9099	2.4519	2.711	4.3028	2.165	3.9921		3.1238	3.819	2.3793	1.859	2.9002	2.7774	2.2187	2.3337	2.1283
8.6533			2.3406	4.1158	4.0642	2.4203	3.0905	3.2514	2.7142	2.6236	5.0019		4.053	2.6968	2.0706	2.637	2.7129	3.2926	3.4612	3.9488	1.9825
4.8706			3.3446	3.8794	2.4207	2.9871	2.7199	3.6874	2.7836	2.2172	2.631		3.3351	2.5037	3.4185	2.5689	3.9827	4.0809	2.2652	2.7577	2.1318
6.5285			2.4125	2.421	4.2085	2.5571	2.4334	4.7042	5.0437	3.9857	3.2484		2.9644	2.9843	2.2654	1.9059	3.3413	3.1173	3.6131	4.0575	2.087
7.9862			2.2248	3.1314	2.672	4.8018	2.8438	3.9915	3.2365	3.7614	2.7841		2.1093	3.2393	2.0538	1.9375	2.0397	3.7045	2.7823	3.7138	2.7294
8.7958			3.8617	2.5926	2.3482	3.1746	3.0552	3.1392	2.7926	3.7662	3.8098		2.0506	2.2017	2.4415	3.6163	2.6902	3.0533	2.3427	2.2707	2.3581
12.5544			2.0519	4.0824	2.226	4.1026	3.8422	3.1016	4.1871	3.548	5.4728		1.9199	3.4402	2.1273	2.0339	3.2415	2.8481	2.3058	2.8246	3.5694
7.9298			3.5096	2.4915	2.9212	3.3624	3.0087	2.9958	2.3418	4.0545	2.4404		2.9597	2.5512	2.1288	3.1499	2.9647	2.7317	3.1054		3.7813
7.1965			3.3334	2.3214	4.4258	2.888	3.0202	2.9535	5.0608	2.7861	2.5288		2.8551	2.8116	2.783	1.9338	3.304	2.8137	3.2223		
7.067			2.464	3.4584	2.1303	2.8622	2.7416	2.8789	3.8564	4.0867	3.9965		2.5968	2.015		2.978	2.826		3.5888		
6.2455			2.9643	2.0772	2.9114	2.563	4.4543	2.7765	2.8953	3.0601	3.4026		2.0353	1.9316		3.3743	3.8521		3.8251		
6.0244			2.5987	2.2361	2.0816	3.5164	4.4969	3.0476	3.4738	2.7294	5.3373		1.9353	1.9554		1.8941	3.7133				
5.5808			3.1237	1.9436	2.9214	3.2963	2.5975	2.798	3.6301	2.5332	2.1597			2.887		2.4225	2.4832				
5.7898			2.0096	3.3274	2.7378	2.8365	2.6737	2.3309	3.3256	4.4716	2.6042			2.5368		1.8736	2.1131				
12.9952			3.757	2.894	2.1629	3.6237	2.6004	3.6208	2.7911	3.1931	3.222			2.2959		1.894	3.0788				
6.0546			2.7543	3.2551	3.2492	2.8045	4.1258	4.3059		2.493	3.0444					3.4171	2.0655				
8.068			4.0983	3.0553	3.086	3.1045	3.4823	3.1548		2.5386	3.6355					1.8556	1.9728				
11.7194				3.128	2.7621	2.8453	3.3182	3.2381		2.1618	4.0332					2.8355	2.0775				
6.2399				2.9656	2.7717	2.7023	3.6208	3.7719		2.233	5.2003					1.9892	4.1515				
7.0366				2.537	4.029	2.9717	2.287	2.3737		2.6175	2.4181					1.8693	2.0009				
10.8373				2.3306	3.1357		3.2519	2.331			4.1257					2.993	3.8017				
5.8122				3.6584	2.3902		3.1589	3.3914			3.5566					2.6574	3.5717				
9.219				2.2139	2.5102		2.3934	2.8517			2.4676					3.1817					
7.5041					2.9321		2.9382	5.0494			2.6298					2.89					
6.5285							2.7729	3.2502			2.6239					2.8657					
10.8001								2.2762			3.4282					2.5101					
5.3633								4.1547			3.5154					3.3186					
6.8624											2.8061					2.2825					
12.7058											3.2887					2.9138					
10.0098											2.4678					2.2826					
8.4704											2.911					2.8996					
5.8632											3.0777					2.2487					
10.1797																2.6292					
5.223																2.096					
6.9766																2.7075					
5.7575																1.7854					
8.9122																2.2746					
11.0803																3.3384					
8.8891																2.0433					
8.1185																2.7169					
6.1106																					
13.0986																					
7.4854																					
7.8056																					
7.585																					
7.2431																					
9.2238																					
8.4098																					
7.6354																					
12.2478																					
8.6332																					
7.6062																					
8.559																					
6.7642																					
6.2671																					
5.3165																					
8.3629																					
7.5173																					
6.3109																					
11.4737																					
6.2045																					
5.3629																					
9.329																					
5.8249																					
9.5849																					
5.2756																					
12.825																					
10.7113																					
10.7665																					
7.7198																					
