feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
6,19,1819.08,48.13,693.17,483.57,2.9278,2.9231
7,7,670.19,29.21,654.18,514.4,2.508,2.5032
18,14,1340.37,41.31,3702.82,589.18,3.522,3.5172
19,7,670.19,29.21,2774.67,594.07,8.9946,8.9898
21,5,478.71,24.69,1403.13,1045.01,4.2324,4.2277
23,143,13690.97,132.03,1178.68,1229.87,3.6658,3.661
30,7,670.19,29.21,2518.87,1341.91,3.3202,3.3154
31,11,1053.15,36.62,3985.95,1340.51,9.8856,9.8808
33,437,41838.84,230.8,2413.4,1533.23,4.7596,4.7548
39,171,16371.72,144.38,1525.62,1675.14,3.9825,3.9778
42,5,478.71,24.69,3307.24,1624.27,2.3833,2.3785
43,5,478.71,24.69,3334.64,1616.44,2.4173,2.4126
48,6,574.45,27.04,2540.77,1691.13,2.5816,2.5769
49,8,765.93,31.23,1590.02,1854.21,9.9459,9.9412
56,5,478.71,24.69,2929.55,2254.4,3.0214,3.0167
57,6,574.45,27.04,327.79,2377.69,8.5971,8.5923
59,14,1340.37,41.31,2495.81,2425.22,9.3932,9.3884
60,8,765.93,31.23,3520.06,2429.06,2.9936,2.9889
62,5,478.71,24.69,4504.89,2438.36,5.7755,5.7707
64,6,574.45,27.04,905.09,2612.52,6.5948,6.59
66,417,39924.02,225.46,3644.07,2761.22,5.3169,5.3121
71,179,17137.65,147.72,1397.41,2911.48,4.2038,4.199
79,5,478.71,24.69,1874.76,3031.31,5.4002,5.3955
80,27,2585.01,57.37,3198.52,3059.0,5.034,5.0292
81,10,957.41,34.91,1925.64,3128.18,3.7076,3.7028
82,8,765.93,31.23,3944.47,3318.25,3.1503,3.1455
86,6,574.45,27.04,1462.82,3561.64,5.6747,5.6699
88,17,1627.6,45.52,3230.69,3780.36,9.5226,9.5179
90,7,670.19,29.21,426.33,4278.73,8.3035,8.2987
92,5,478.71,24.69,1207.44,4365.95,6.0814,6.0766
93,36,3446.68,66.25,333.5,4487.66,3.0174,3.0127
