feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
2,8,765.93,31.23,3846.62,314.33,2.5865,2.602
3,20,1914.82,49.38,4536.69,336.11,8.5991,8.6146
4,13,1244.63,39.81,3069.4,406.44,8.4923,8.5079
12,9,861.67,33.12,1403.57,1010.0,7.0888,7.1044
13,18,1723.34,46.84,1449.77,1041.53,3.7509,3.7665
22,35,3350.94,65.32,3820.8,1626.78,3.6724,3.688
24,14,1340.37,41.31,3830.72,1707.44,8.0333,8.0489
25,6,574.45,27.04,471.3,1753.1,2.894,2.9096
32,71,6797.61,93.03,3133.46,2276.95,9.1053,9.1208
33,9,861.67,33.12,1038.27,2234.18,3.1848,3.2004
39,5,478.71,24.69,2747.55,2706.46,2.0787,2.0942
43,16,1531.86,44.16,3453.4,2862.65,9.0031,9.0186
46,15,1436.12,42.76,3005.22,2935.42,2.1816,2.1972
47,136,13020.78,128.76,3159.32,2969.52,3.0303,3.0458
49,5,478.71,24.69,3046.97,2968.69,1.9794,1.9949
55,63,6031.69,87.63,643.15,3359.74,9.593,9.6085
56,51,4882.79,78.85,4494.07,3387.25,5.3005,5.3161
66,8,765.93,31.23,3449.12,3561.64,2.5489,2.5644
67,7,670.19,29.21,1894.05,3887.34,3.1774,3.193
71,14,1340.37,41.31,1309.06,4148.03,8.3374,8.353
72,19,1819.08,48.13,2242.25,4155.42,8.4312,8.4468
74,8,765.93,31.23,4573.14,4164.63,2.3057,2.3213
78,9,861.67,33.12,3009.35,4234.62,4.1123,4.1279
79,6,574.45,27.04,3948.14,4246.58,2.0283,2.0439
81,28,2680.75,58.42,1718.27,4308.43,4.4314,4.447
87,10,957.41,34.91,4076.32,4590.02,7.1516,7.1672
92,8,765.93,31.23,3345.16,4615.95,2.3355,2.3511
94,5,478.71,24.69,3338.55,4653.62,2.2088,2.2243
